medianA,medianB,deltaMedian_AminusB,pairLabel,deltaMedian_sorted,subjectID,markerGroup,emotionA,emotionB,ksD,nSamplesA,nSamplesB,nVideosA,nVideosB
19.4926306797736,25.1124347288392,-5.61980404906561,DISGUST-NEUTRAL,-5.61980404906561,HH2603,UTORSO,NEUTRAL,DISGUST,0.225892969279769,8894,5409,1,1
19.4926306797736,18.794210133709,0.69842054606459,FEAR-NEUTRAL,0.69842054606459,HH2603,UTORSO,NEUTRAL,FEAR,0.0315529256568863,8894,7421,1,1
19.4926306797736,21.0220243050343,-1.52939362526066,JOY-NEUTRAL,-1.52939362526066,HH2603,UTORSO,NEUTRAL,JOY,0.0835846431585244,8894,8479,1,1
19.4926306797736,24.5345205720794,-5.0418898923058,NEUTRAL-SAD,5.0418898923058,HH2603,UTORSO,NEUTRAL,SAD,0.18606757888255,8894,6333,1,1
25.1124347288392,18.794210133709,6.3182245951302,DISGUST-FEAR,-6.3182245951302,HH2603,UTORSO,DISGUST,FEAR,0.254818281996629,5409,7421,1,1
25.1124347288392,21.0220243050343,4.09041042380495,DISGUST-JOY,-4.09041042380495,HH2603,UTORSO,DISGUST,JOY,0.172568461692281,5409,8479,1,1
25.1124347288392,24.5345205720794,0.57791415675981,DISGUST-SAD,-0.57791415675981,HH2603,UTORSO,DISGUST,SAD,0.0485078512320335,5409,6333,1,1
18.794210133709,21.0220243050343,-2.22781417132525,FEAR-JOY,2.22781417132525,HH2603,UTORSO,FEAR,JOY,0.0950969506867153,7421,8479,1,1
18.794210133709,24.5345205720794,-5.74031043837039,FEAR-SAD,5.74031043837039,HH2603,UTORSO,FEAR,SAD,0.211563890634915,7421,6333,1,1
21.0220243050343,24.5345205720794,-3.51249626704514,JOY-SAD,3.51249626704514,HH2603,UTORSO,JOY,SAD,0.13676096732014,8479,6333,1,1
23.3611466379636,25.7063303391546,-2.34518370119104,DISGUST-NEUTRAL,-2.34518370119104,HH2603,HEAD,NEUTRAL,DISGUST,0.127879372256949,2336,1030,1,1
23.3611466379636,25.1408786656597,-1.77973202769611,FEAR-NEUTRAL,-1.77973202769611,HH2603,HEAD,NEUTRAL,FEAR,0.0969242698371672,2336,2120,1,1
23.3611466379636,22.0242559858882,1.33689065207532,JOY-NEUTRAL,1.33689065207532,HH2603,HEAD,NEUTRAL,JOY,0.126115700662459,2336,2804,1,1
23.3611466379636,25.0040950487473,-1.64294841078378,NEUTRAL-SAD,1.64294841078378,HH2603,HEAD,NEUTRAL,SAD,0.0904573181643299,2336,1531,1,1
25.7063303391546,25.1408786656597,0.56545167349493,DISGUST-FEAR,-0.56545167349493,HH2603,HEAD,DISGUST,FEAR,0.0543735116321671,1030,2120,1,1
25.7063303391546,22.0242559858882,3.68207435326636,DISGUST-JOY,-3.68207435326636,HH2603,HEAD,DISGUST,JOY,0.151908507956733,1030,2804,1,1
25.7063303391546,25.0040950487473,0.702235290407252,DISGUST-SAD,-0.702235290407252,HH2603,HEAD,DISGUST,SAD,0.0686244792096035,1030,1531,1,1
25.1408786656597,22.0242559858882,3.11662267977143,FEAR-JOY,-3.11662267977143,HH2603,HEAD,FEAR,JOY,0.154286329502328,2120,2804,1,1
25.1408786656597,25.0040950487473,0.136783616912322,FEAR-SAD,-0.136783616912322,HH2603,HEAD,FEAR,SAD,0.0369585176786661,2120,1531,1,1
22.0242559858882,25.0040950487473,-2.97983906285911,JOY-SAD,2.97983906285911,HH2603,HEAD,JOY,SAD,0.166690349048807,2804,1531,1,1
20.4459219471087,25.5372935442499,-5.09137159714128,DISGUST-NEUTRAL,-5.09137159714128,HH2603,UPPER_LIMB_L,NEUTRAL,DISGUST,0.235981231386441,3455,2072,1,1
20.4459219471087,20.4729933181084,-0.0270713709997388,FEAR-NEUTRAL,-0.0270713709997388,HH2603,UPPER_LIMB_L,NEUTRAL,FEAR,0.0635041151745194,3455,2471,1,1
20.4459219471087,22.8911936522017,-2.44527170509308,JOY-NEUTRAL,-2.44527170509308,HH2603,UPPER_LIMB_L,NEUTRAL,JOY,0.170704003777587,3455,2366,1,1
20.4459219471087,24.1208066643685,-3.67488471725986,NEUTRAL-SAD,3.67488471725986,HH2603,UPPER_LIMB_L,NEUTRAL,SAD,0.155793614376086,3455,1476,1,1
25.5372935442499,20.4729933181084,5.06430022614154,DISGUST-FEAR,-5.06430022614154,HH2603,UPPER_LIMB_L,DISGUST,FEAR,0.232557122075536,2072,2471,1,1
25.5372935442499,22.8911936522017,2.6460998920482,DISGUST-JOY,-2.6460998920482,HH2603,UPPER_LIMB_L,DISGUST,JOY,0.132653469191931,2072,2366,1,1
25.5372935442499,24.1208066643685,1.41648687988142,DISGUST-SAD,-1.41648687988142,HH2603,UPPER_LIMB_L,DISGUST,SAD,0.0939144719632525,2072,1476,1,1
20.4729933181084,22.8911936522017,-2.41820033409334,FEAR-JOY,2.41820033409334,HH2603,UPPER_LIMB_L,FEAR,JOY,0.127143503696129,2471,2366,1,1
20.4729933181084,24.1208066643685,-3.64781334626013,FEAR-SAD,3.64781334626013,HH2603,UPPER_LIMB_L,FEAR,SAD,0.154303196208814,2471,1476,1,1
22.8911936522017,24.1208066643685,-1.22961301216678,JOY-SAD,1.22961301216678,HH2603,UPPER_LIMB_L,JOY,SAD,0.061476724234698,2366,1476,1,1
20.7889799754123,24.6103578574091,-3.82137788199674,DISGUST-NEUTRAL,-3.82137788199674,HH2603,UPPER_LIMB_R,NEUTRAL,DISGUST,0.155099803617853,3294,2005,1,1
20.7889799754123,19.4926874670706,1.29629250834176,FEAR-NEUTRAL,1.29629250834176,HH2603,UPPER_LIMB_R,NEUTRAL,FEAR,0.073158049656032,3294,2531,1,1
20.7889799754123,22.0016285703971,-1.21264859498476,JOY-NEUTRAL,-1.21264859498476,HH2603,UPPER_LIMB_R,NEUTRAL,JOY,0.0577337941483086,3294,3392,1,1
20.7889799754123,24.0277124295195,-3.23873245410717,NEUTRAL-SAD,3.23873245410717,HH2603,UPPER_LIMB_R,NEUTRAL,SAD,0.173144153644585,3294,1710,1,1
24.6103578574091,19.4926874670706,5.1176703903385,DISGUST-FEAR,-5.1176703903385,HH2603,UPPER_LIMB_R,DISGUST,FEAR,0.193869336930294,2005,2531,1,1
24.6103578574091,22.0016285703971,2.60872928701198,DISGUST-JOY,-2.60872928701198,HH2603,UPPER_LIMB_R,DISGUST,JOY,0.136277525525808,2005,3392,1,1
24.6103578574091,24.0277124295195,0.582645427889567,DISGUST-SAD,-0.582645427889567,HH2603,UPPER_LIMB_R,DISGUST,SAD,0.0398433740210877,2005,1710,1,1
19.4926874670706,22.0016285703971,-2.50894110332653,FEAR-JOY,2.50894110332653,HH2603,UPPER_LIMB_R,FEAR,JOY,0.11024161249562,2531,3392,1,1
19.4926874670706,24.0277124295195,-4.53502496244894,FEAR-SAD,4.53502496244894,HH2603,UPPER_LIMB_R,FEAR,SAD,0.221912380054575,2531,1710,1,1
22.0016285703971,24.0277124295195,-2.02608385912241,JOY-SAD,2.02608385912241,HH2603,UPPER_LIMB_R,JOY,SAD,0.13291956305859,3392,1710,1,1
8.82774775545703,11.3079480472868,-2.48020029182977,DISGUST-NEUTRAL,-2.48020029182977,HH2603,LOWER_LIMB_L,NEUTRAL,DISGUST,0.0782295703052759,20708,20854,1,1
8.82774775545703,8.0460649460406,0.781682809416431,FEAR-NEUTRAL,0.781682809416431,HH2603,LOWER_LIMB_L,NEUTRAL,FEAR,0.0338848834272908,20708,17830,1,1
8.82774775545703,9.67843080748105,-0.850683052024019,JOY-NEUTRAL,-0.850683052024019,HH2603,LOWER_LIMB_L,NEUTRAL,JOY,0.030986115136413,20708,20879,1,1
8.82774775545703,9.86943186310846,-1.04168410765143,NEUTRAL-SAD,1.04168410765143,HH2603,LOWER_LIMB_L,NEUTRAL,SAD,0.0373042018951148,20708,18203,1,1
11.3079480472868,8.0460649460406,3.2618831012462,DISGUST-FEAR,-3.2618831012462,HH2603,LOWER_LIMB_L,DISGUST,FEAR,0.1040510633418,20854,17830,1,1
11.3079480472868,9.67843080748105,1.62951723980575,DISGUST-JOY,-1.62951723980575,HH2603,LOWER_LIMB_L,DISGUST,JOY,0.0662108033890011,20854,20879,1,1
11.3079480472868,9.86943186310846,1.43851618417834,DISGUST-SAD,-1.43851618417834,HH2603,LOWER_LIMB_L,DISGUST,SAD,0.0494279661940075,20854,18203,1,1
8.0460649460406,9.67843080748105,-1.63236586144045,FEAR-JOY,1.63236586144045,HH2603,LOWER_LIMB_L,FEAR,JOY,0.0571486317135855,17830,20879,1,1
8.0460649460406,9.86943186310846,-1.82336691706786,FEAR-SAD,1.82336691706786,HH2603,LOWER_LIMB_L,FEAR,SAD,0.0625276432372999,17830,18203,1,1
9.67843080748105,9.86943186310846,-0.19100105562741,JOY-SAD,0.19100105562741,HH2603,LOWER_LIMB_L,JOY,SAD,0.0307430867896413,20879,18203,1,1
6.81231065381499,6.22768510160444,0.58462555221055,DISGUST-NEUTRAL,0.58462555221055,HH2603,LOWER_LIMB_R,NEUTRAL,DISGUST,0.0495375427541226,24232,25032,1,1
6.81231065381499,6.50639357381028,0.305917080004708,FEAR-NEUTRAL,0.305917080004708,HH2603,LOWER_LIMB_R,NEUTRAL,FEAR,0.0394920161835658,24232,22027,1,1
6.81231065381499,6.60499965395568,0.207310999859307,JOY-NEUTRAL,0.207310999859307,HH2603,LOWER_LIMB_R,NEUTRAL,JOY,0.0374908922089841,24232,24686,1,1
6.81231065381499,6.86459273285829,-0.0522820790432998,NEUTRAL-SAD,0.0522820790432998,HH2603,LOWER_LIMB_R,NEUTRAL,SAD,0.0628110729214588,24232,21836,1,1
6.22768510160444,6.50639357381028,-0.278708472205842,DISGUST-FEAR,0.278708472205842,HH2603,LOWER_LIMB_R,DISGUST,FEAR,0.0499500667293139,25032,22027,1,1
6.22768510160444,6.60499965395568,-0.377314552351243,DISGUST-JOY,0.377314552351243,HH2603,LOWER_LIMB_R,DISGUST,JOY,0.048729482375336,25032,24686,1,1
6.22768510160444,6.86459273285829,-0.63690763125385,DISGUST-SAD,0.63690763125385,HH2603,LOWER_LIMB_R,DISGUST,SAD,0.0343102942174299,25032,21836,1,1
6.50639357381028,6.60499965395568,-0.0986060801454007,FEAR-JOY,0.0986060801454007,HH2603,LOWER_LIMB_R,FEAR,JOY,0.0249676877707858,22027,24686,1,1
6.50639357381028,6.86459273285829,-0.358199159048008,FEAR-SAD,0.358199159048008,HH2603,LOWER_LIMB_R,FEAR,SAD,0.0626067603271919,22027,21836,1,1
6.60499965395568,6.86459273285829,-0.259593078902607,JOY-SAD,0.259593078902607,HH2603,LOWER_LIMB_R,JOY,SAD,0.0450089578671031,24686,21836,1,1
21.9388275829624,24.6182871395256,-2.67945955656324,DISGUST-NEUTRAL,-2.67945955656324,HH2603,WRIST_L,NEUTRAL,DISGUST,0.199082935748364,493,426,1,1
21.9388275829624,20.4964170538245,1.4424105291379,FEAR-NEUTRAL,1.4424105291379,HH2603,WRIST_L,NEUTRAL,FEAR,0.127462440265411,493,354,1,1
21.9388275829624,24.3640126954428,-2.42518511248043,JOY-NEUTRAL,-2.42518511248043,HH2603,WRIST_L,NEUTRAL,JOY,0.121639460381854,493,315,1,1
24.6182871395256,20.4964170538245,4.12187008570115,DISGUST-FEAR,-4.12187008570115,HH2603,WRIST_L,DISGUST,FEAR,0.234105196148643,426,354,1,1
24.6182871395256,24.3640126954428,0.254274444082817,DISGUST-JOY,-0.254274444082817,HH2603,WRIST_L,DISGUST,JOY,0.146970713167896,426,315,1,1
