subjectID,markerGroup,emotionA,emotionB,fearSummary
HH2603,UTORSO,DISGUST,SUMMARY,0.120061437391648
HH2603,HEAD,DISGUST,SUMMARY,0.120541987286718
HH2603,UPPER_LIMB_L,DISGUST,SUMMARY,0.161960521913683
HH2603,UPPER_LIMB_R,DISGUST,SUMMARY,0.12597328295154
HH2603,LOWER_LIMB_L,DISGUST,SUMMARY,0.0894374755904114
HH2603,LOWER_LIMB_R,DISGUST,SUMMARY,0.0708493233456176
HH2603,WRIST_L,DISGUST,SUMMARY,0.202241552358648
HH2603,WRIST_R,DISGUST,SUMMARY,0.165941786550686
HH2603,LTORSO,DISGUST,SUMMARY,0.110705077141396
KN9309,UTORSO,DISGUST,SUMMARY,0.216673256485903
KN9309,HEAD,DISGUST,SUMMARY,0.223820675811308
KN9309,UPPER_LIMB_L,DISGUST,SUMMARY,0.182167949146872
KN9309,UPPER_LIMB_R,DISGUST,SUMMARY,0.212980930076949
KN9309,LOWER_LIMB_L,DISGUST,SUMMARY,0.129474740715959
KN9309,LOWER_LIMB_R,DISGUST,SUMMARY,0.115353518456563
KN9309,WRIST_L,DISGUST,SUMMARY,0.183673469387755
KN9309,WRIST_R,DISGUST,SUMMARY,0.199397791903647
KN9309,LTORSO,DISGUST,SUMMARY,0.172545183453602
XJ1505,UTORSO,DISGUST,SUMMARY,0.368168131634174
XJ1505,HEAD,DISGUST,SUMMARY,0.298327199732352
XJ1505,UPPER_LIMB_L,DISGUST,SUMMARY,0.348711943793911
XJ1505,UPPER_LIMB_R,DISGUST,SUMMARY,0.402609568417531
XJ1505,LOWER_LIMB_L,DISGUST,SUMMARY,0.294412847106056
XJ1505,LOWER_LIMB_R,DISGUST,SUMMARY,0.261667781866845
XJ1505,WRIST_L,DISGUST,SUMMARY,0.360655737704918
XJ1505,WRIST_R,DISGUST,SUMMARY,0.426062228169957
XJ1505,LTORSO,DISGUST,SUMMARY,0.355670792907327
AC1602,UTORSO,DISGUST,SUMMARY,0.186319535265671
AC1602,HEAD,DISGUST,SUMMARY,0.204382736701238
AC1602,UPPER_LIMB_L,DISGUST,SUMMARY,0.209769153563065
AC1602,UPPER_LIMB_R,DISGUST,SUMMARY,0.210672465707595
AC1602,LOWER_LIMB_L,DISGUST,SUMMARY,0.125850340136054
AC1602,LOWER_LIMB_R,DISGUST,SUMMARY,0.117026318724211
AC1602,WRIST_L,DISGUST,SUMMARY,0.250250920040147
AC1602,WRIST_R,DISGUST,SUMMARY,0.225828036132486
AC1602,LTORSO,DISGUST,SUMMARY,0.202509200401472
AK1703,UTORSO,DISGUST,SUMMARY,0.226542778065026
AK1703,HEAD,DISGUST,SUMMARY,0.288658414185346
AK1703,UPPER_LIMB_L,DISGUST,SUMMARY,0.237136165941787
AK1703,UPPER_LIMB_R,DISGUST,SUMMARY,0.250518568082971
AK1703,LOWER_LIMB_L,DISGUST,SUMMARY,0.132848221255715
AK1703,LOWER_LIMB_R,DISGUST,SUMMARY,0.137731849776404
AK1703,WRIST_L,DISGUST,SUMMARY,0.248578119772499
AK1703,WRIST_R,DISGUST,SUMMARY,0.262295081967213
AK1703,LTORSO,DISGUST,SUMMARY,0.206657745065239
AU1001,UTORSO,DISGUST,SUMMARY,0.308854779864215
AU1001,HEAD,DISGUST,SUMMARY,0.311993623677711
AU1001,UPPER_LIMB_L,DISGUST,SUMMARY,0.367648042823687
AU1001,UPPER_LIMB_R,DISGUST,SUMMARY,0.31525593844095
AU1001,LOWER_LIMB_L,DISGUST,SUMMARY,0.229720416242562
AU1001,LOWER_LIMB_R,DISGUST,SUMMARY,0.176434806411387
AU1001,WRIST_L,DISGUST,SUMMARY,0.400802944128471
AU1001,WRIST_R,DISGUST,SUMMARY,0.321344931415189
AU1001,LTORSO,DISGUST,SUMMARY,0.325692806128041
IJ1701,UTORSO,DISGUST,SUMMARY,0.149457100276772
IJ1701,HEAD,DISGUST,SUMMARY,0.263834058213449
IJ1701,UPPER_LIMB_L,DISGUST,SUMMARY,0.204851120776179
IJ1701,UPPER_LIMB_R,DISGUST,SUMMARY,0.143358982937437
IJ1701,LOWER_LIMB_L,DISGUST,SUMMARY,0.0802525928404149
IJ1701,LOWER_LIMB_R,DISGUST,SUMMARY,0.0641797702687633
IJ1701,WRIST_L,DISGUST,SUMMARY,0.213951154232185
IJ1701,WRIST_R,DISGUST,SUMMARY,0.154399464703914
IJ1701,LTORSO,DISGUST,SUMMARY,0.168526835450843
LE2202,UTORSO,DISGUST,SUMMARY,0.137002341920375
LE2202,HEAD,DISGUST,SUMMARY,0.143292070926731
LE2202,UPPER_LIMB_L,DISGUST,SUMMARY,0.207828705252593
LE2202,UPPER_LIMB_R,DISGUST,SUMMARY,0.128103044496487
LE2202,LOWER_LIMB_L,DISGUST,SUMMARY,0.10019702422484
LE2202,LOWER_LIMB_R,DISGUST,SUMMARY,0.0815201561023574
LE2202,WRIST_L,DISGUST,SUMMARY,0.240214118434259
LE2202,WRIST_R,DISGUST,SUMMARY,0.14553362328538
LE2202,LTORSO,DISGUST,SUMMARY,0.145153418960206
MB0502,UTORSO,DISGUST,SUMMARY,0.197816235286961
MB0502,HEAD,DISGUST,SUMMARY,0.169588491134159
MB0502,UPPER_LIMB_L,DISGUST,SUMMARY,0.214653730344597
MB0502,UPPER_LIMB_R,DISGUST,SUMMARY,0.251923720307795
MB0502,LOWER_LIMB_L,DISGUST,SUMMARY,0.153688524590164
MB0502,LOWER_LIMB_R,DISGUST,SUMMARY,0.14032006245121
MB0502,WRIST_L,DISGUST,SUMMARY,0.250752760120442
MB0502,WRIST_R,DISGUST,SUMMARY,0.270157243225159
MB0502,LTORSO,DISGUST,SUMMARY,0.229084714540499
MJ1800,UTORSO,DISGUST,SUMMARY,0.242311879556407
MJ1800,HEAD,DISGUST,SUMMARY,0.242161022770096
MJ1800,UPPER_LIMB_L,DISGUST,SUMMARY,0.252685079039954
MJ1800,UPPER_LIMB_R,DISGUST,SUMMARY,0.310539105253678
MJ1800,LOWER_LIMB_L,DISGUST,SUMMARY,0.206618405671592
MJ1800,LOWER_LIMB_R,DISGUST,SUMMARY,0.194987859479753
MJ1800,WRIST_L,DISGUST,SUMMARY,0.288832342448389
MJ1800,WRIST_R,DISGUST,SUMMARY,0.340576311633136
MJ1800,LTORSO,DISGUST,SUMMARY,0.303594532679117
MS2002,UTORSO,DISGUST,SUMMARY,0.205902724641854
MS2002,HEAD,DISGUST,SUMMARY,0.145473383105912
MS2002,UPPER_LIMB_L,DISGUST,SUMMARY,0.194857653790283
MS2002,UPPER_LIMB_R,DISGUST,SUMMARY,0.140415403278301
MS2002,LOWER_LIMB_L,DISGUST,SUMMARY,0.160703363280888
MS2002,LOWER_LIMB_R,DISGUST,SUMMARY,0.15166219797454
MS2002,WRIST_L,DISGUST,SUMMARY,0.242142546687484
MS2002,WRIST_R,DISGUST,SUMMARY,0.12385609032196
MS2002,LTORSO,DISGUST,SUMMARY,0.168962177649242
MT2401,UTORSO,DISGUST,SUMMARY,0.164056084430792
MT2401,HEAD,DISGUST,SUMMARY,0.0875209100033456
MT2401,UPPER_LIMB_L,DISGUST,SUMMARY,0.189427902308464
MT2401,UPPER_LIMB_R,DISGUST,SUMMARY,0.163466042154567
MT2401,LOWER_LIMB_L,DISGUST,SUMMARY,0.127967876410582
MT2401,LOWER_LIMB_R,DISGUST,SUMMARY,0.141870041579072
MT2401,WRIST_L,DISGUST,SUMMARY,0.212445633991301
MT2401,WRIST_R,DISGUST,SUMMARY,0.212278353964537
MT2401,LTORSO,DISGUST,SUMMARY,0.178604488835569
RC2602,UTORSO,DISGUST,SUMMARY,0.211198637428146
RC2602,HEAD,DISGUST,SUMMARY,0.251823352291736
RC2602,UPPER_LIMB_L,DISGUST,SUMMARY,0.300501840080294
RC2602,UPPER_LIMB_R,DISGUST,SUMMARY,0.25152224824356
RC2602,LOWER_LIMB_L,DISGUST,SUMMARY,0.149914552689846
RC2602,LOWER_LIMB_R,DISGUST,SUMMARY,0.115996147656687
RC2602,WRIST_L,DISGUST,SUMMARY,0.362328537972566
RC2602,WRIST_R,DISGUST,SUMMARY,0.28203412512546
RC2602,LTORSO,DISGUST,SUMMARY,0.254901304784209
SC0401,UTORSO,DISGUST,SUMMARY,0.682798599316545
SC0401,HEAD,DISGUST,SUMMARY,0.655163327747035
SC0401,UPPER_LIMB_L,DISGUST,SUMMARY,0.721311475409836
SC0401,UPPER_LIMB_R,DISGUST,SUMMARY,0.679424556707929
SC0401,LOWER_LIMB_L,DISGUST,SUMMARY,0.515940685938066
SC0401,LOWER_LIMB_R,DISGUST,SUMMARY,0.430829708932753
SC0401,WRIST_L,DISGUST,SUMMARY,0.710772833723653
SC0401,WRIST_R,DISGUST,SUMMARY,0.70541987286718
SC0401,LTORSO,DISGUST,SUMMARY,0.703337285466698
SC3001,UTORSO,DISGUST,SUMMARY,0.305270841570607
SC3001,HEAD,DISGUST,SUMMARY,0.238976246236199
SC3001,UPPER_LIMB_L,DISGUST,SUMMARY,0.313583138173302
SC3001,UPPER_LIMB_R,DISGUST,SUMMARY,0.294647039143526
SC3001,LOWER_LIMB_L,DISGUST,SUMMARY,0.232073157131705
SC3001,LOWER_LIMB_R,DISGUST,SUMMARY,0.151834504293521
SC3001,WRIST_L,DISGUST,SUMMARY,0.315155570424891
SC3001,WRIST_R,DISGUST,SUMMARY,0.306289729006357
SC3001,LTORSO,DISGUST,SUMMARY,0.286115757778521
SK0702,UTORSO,DISGUST,SUMMARY,0.127680282247027
SK0702,HEAD,DISGUST,SUMMARY,0.118634994981599
SK0702,UPPER_LIMB_L,DISGUST,SUMMARY,0.18113081298093
SK0702,UPPER_LIMB_R,DISGUST,SUMMARY,0.215490130478421
SK0702,LOWER_LIMB_L,DISGUST,SUMMARY,0.0842999642052667
SK0702,LOWER_LIMB_R,DISGUST,SUMMARY,0.0732831989339592
SK0702,WRIST_L,DISGUST,SUMMARY,0.214452994312479
SK0702,WRIST_R,DISGUST,SUMMARY,0.236366677818668
SK0702,LTORSO,DISGUST,SUMMARY,0.178086426933826
XB0202,UTORSO,DISGUST,SUMMARY,0.180312661577299
XB0202,HEAD,DISGUST,SUMMARY,0.259986617597859
XB0202,UPPER_LIMB_L,DISGUST,SUMMARY,0.222649715623955
XB0202,UPPER_LIMB_R,DISGUST,SUMMARY,0.226932084309134
XB0202,LOWER_LIMB_L,DISGUST,SUMMARY,0.112230957956953
XB0202,LOWER_LIMB_R,DISGUST,SUMMARY,0.103992416638787
XB0202,WRIST_L,DISGUST,SUMMARY,0.321177651388424
XB0202,WRIST_R,DISGUST,SUMMARY,0.268651722984276
XB0202,LTORSO,DISGUST,SUMMARY,0.212378721980596
XB0300,UTORSO,DISGUST,SUMMARY,0.152954773563673
XB0300,HEAD,DISGUST,SUMMARY,0.17276681164269
XB0300,UPPER_LIMB_L,DISGUST,SUMMARY,0.18655068584811
XB0300,UPPER_LIMB_R,DISGUST,SUMMARY,0.210639009702242
XB0300,LOWER_LIMB_L,DISGUST,SUMMARY,0.09222012695286
XB0300,LOWER_LIMB_R,DISGUST,SUMMARY,0.104613317768644
XB0300,WRIST_L,DISGUST,SUMMARY,0.198561391769823
XB0300,WRIST_R,DISGUST,SUMMARY,0.224991635998662
XB0300,LTORSO,DISGUST,SUMMARY,0.213776034679413
XC3002,UTORSO,DISGUST,SUMMARY,0.154761196915764
XC3002,HEAD,DISGUST,SUMMARY,0.100401472064236
XC3002,UPPER_LIMB_L,DISGUST,SUMMARY,0.207360321177651
XC3002,UPPER_LIMB_R,DISGUST,SUMMARY,0.226430244228839
XC3002,LOWER_LIMB_L,DISGUST,SUMMARY,0.0995152579880243
XC3002,LOWER_LIMB_R,DISGUST,SUMMARY,0.109150217464035
XC3002,WRIST_L,DISGUST,SUMMARY,0.235167252731656
XC3002,WRIST_R,DISGUST,SUMMARY,0.240214118434259
XC3002,LTORSO,DISGUST,SUMMARY,0.194229472347598
XJ1802,UTORSO,DISGUST,SUMMARY,0.173925259473488
XJ1802,HEAD,DISGUST,SUMMARY,0.170993643358983
XJ1802,UPPER_LIMB_L,DISGUST,SUMMARY,0.165205754432921
XJ1802,UPPER_LIMB_R,DISGUST,SUMMARY,0.213984610237538
XJ1802,LOWER_LIMB_L,DISGUST,SUMMARY,0.143275342924055
XJ1802,LOWER_LIMB_R,DISGUST,SUMMARY,0.12780194044831
XJ1802,WRIST_L,DISGUST,SUMMARY,0.175309468049515
XJ1802,WRIST_R,DISGUST,SUMMARY,0.203245232519237
XJ1802,LTORSO,DISGUST,SUMMARY,0.208164970915208
XM2301,UTORSO,DISGUST,SUMMARY,0.367164451473585
XM2301,HEAD,DISGUST,SUMMARY,0.332452325192372
XM2301,UPPER_LIMB_L,DISGUST,SUMMARY,0.383238541318167
XM2301,UPPER_LIMB_R,DISGUST,SUMMARY,0.377383740381398
XM2301,LOWER_LIMB_L,DISGUST,SUMMARY,0.255428317151533
XM2301,LOWER_LIMB_R,DISGUST,SUMMARY,0.222945045531308
XM2301,WRIST_L,DISGUST,SUMMARY,0.374372699899632
XM2301,WRIST_R,DISGUST,SUMMARY,0.413683506189361
XM2301,LTORSO,DISGUST,SUMMARY,0.359919705587153
XM3001,UTORSO,DISGUST,SUMMARY,0.212764195133988
XM3001,HEAD,DISGUST,SUMMARY,0.154901304784209
XM3001,UPPER_LIMB_L,DISGUST,SUMMARY,0.202275008364001
XM3001,UPPER_LIMB_R,DISGUST,SUMMARY,0.240214118434259
XM3001,LOWER_LIMB_L,DISGUST,SUMMARY,0.202436712389874
XM3001,LOWER_LIMB_R,DISGUST,SUMMARY,0.145659083305453
XM3001,WRIST_L,DISGUST,SUMMARY,0.227166276346604
XM3001,WRIST_R,DISGUST,SUMMARY,0.263967882234861
XM3001,LTORSO,DISGUST,SUMMARY,0.214331499412781
XP1500,UTORSO,DISGUST,SUMMARY,0.296040025548222
XP1500,HEAD,DISGUST,SUMMARY,0.302341920374707
XP1500,UPPER_LIMB_L,DISGUST,SUMMARY,0.320976915356306
XP1500,UPPER_LIMB_R,DISGUST,SUMMARY,0.303914352626296
XP1500,LOWER_LIMB_L,DISGUST,SUMMARY,0.255138708295145
XP1500,LOWER_LIMB_R,DISGUST,SUMMARY,0.202130032340805
XP1500,WRIST_L,DISGUST,SUMMARY,0.302107728337237
XP1500,WRIST_R,DISGUST,SUMMARY,0.328370692539311
XP1500,LTORSO,DISGUST,SUMMARY,0.308263633322181
XR2302,UTORSO,DISGUST,SUMMARY,0.189944232883765
XR2302,HEAD,DISGUST,SUMMARY,0.159083305453329
XR2302,UPPER_LIMB_L,DISGUST,SUMMARY,0.189896286383406
XR2302,UPPER_LIMB_R,DISGUST,SUMMARY,0.173101371696219
