subjectID,markerGroup,emotionA,emotionB,fearSummary
HH2603,UTORSO,DISGUST,SUMMARY,0.199230715486025
HH2603,HEAD,DISGUST,SUMMARY,0.0982519257332763
HH2603,UPPER_LIMB_L,DISGUST,SUMMARY,0.182605295633733
HH2603,UPPER_LIMB_R,DISGUST,SUMMARY,0.14568866457183
HH2603,LOWER_LIMB_L,DISGUST,SUMMARY,0.0722201868471385
HH2603,LOWER_LIMB_R,DISGUST,SUMMARY,0.0491335125647293
HH2603,WRIST_L,DISGUST,SUMMARY,0.199082935748364
HH2603,WRIST_R,DISGUST,SUMMARY,0.258964904595016
HH2603,LTORSO,DISGUST,SUMMARY,0.179219153880404
KN9309,UTORSO,DISGUST,SUMMARY,0.215921108852491
KN9309,HEAD,DISGUST,SUMMARY,0.203397534905047
KN9309,UPPER_LIMB_L,DISGUST,SUMMARY,0.280288083651535
KN9309,UPPER_LIMB_R,DISGUST,SUMMARY,0.274756965840485
KN9309,LOWER_LIMB_L,DISGUST,SUMMARY,0.115110720930255
KN9309,LOWER_LIMB_R,DISGUST,SUMMARY,0.112181146004196
KN9309,WRIST_L,DISGUST,SUMMARY,0.485299226993772
KN9309,WRIST_R,DISGUST,SUMMARY,0.369353690938405
KN9309,LTORSO,DISGUST,SUMMARY,0.250111880760092
XJ1505,UTORSO,DISGUST,SUMMARY,0.168373432133952
XJ1505,HEAD,DISGUST,SUMMARY,0.223070696682825
XJ1505,UPPER_LIMB_L,DISGUST,SUMMARY,0.196780735886065
XJ1505,UPPER_LIMB_R,DISGUST,SUMMARY,0.160642391723325
XJ1505,LOWER_LIMB_L,DISGUST,SUMMARY,0.13727861434658
XJ1505,LOWER_LIMB_R,DISGUST,SUMMARY,0.155399350453751
XJ1505,WRIST_L,DISGUST,SUMMARY,0.288534185727926
XJ1505,WRIST_R,DISGUST,SUMMARY,0.201976495145737
XJ1505,LTORSO,DISGUST,SUMMARY,0.240809467878316
AC1602,UTORSO,DISGUST,SUMMARY,0.24445611777895
AC1602,HEAD,DISGUST,SUMMARY,0.340009894910669
AC1602,UPPER_LIMB_L,DISGUST,SUMMARY,0.34045114415394
AC1602,UPPER_LIMB_R,DISGUST,SUMMARY,0.264046937586334
AC1602,LOWER_LIMB_L,DISGUST,SUMMARY,0.105279659610825
AC1602,LOWER_LIMB_R,DISGUST,SUMMARY,0.118946299687524
AC1602,WRIST_L,DISGUST,SUMMARY,0.394660777972979
AC1602,WRIST_R,DISGUST,SUMMARY,0.286487620405494
AC1602,LTORSO,DISGUST,SUMMARY,0.298628792443715
AK1703,UTORSO,DISGUST,SUMMARY,0.222642659576119
AK1703,HEAD,DISGUST,SUMMARY,0.266028734094681
AK1703,UPPER_LIMB_L,DISGUST,SUMMARY,0.242044801647138
AK1703,UPPER_LIMB_R,DISGUST,SUMMARY,0.273451479109616
AK1703,LOWER_LIMB_L,DISGUST,SUMMARY,0.126988022166311
AK1703,LOWER_LIMB_R,DISGUST,SUMMARY,0.142253716165544
AK1703,WRIST_L,DISGUST,SUMMARY,0.149307038938381
AK1703,WRIST_R,DISGUST,SUMMARY,0.328549751757244
AK1703,LTORSO,DISGUST,SUMMARY,0.270951782270896
AU1001,UTORSO,DISGUST,SUMMARY,0.394679700438572
AU1001,HEAD,DISGUST,SUMMARY,0.329258739677528
AU1001,UPPER_LIMB_L,DISGUST,SUMMARY,0.384148612374182
AU1001,UPPER_LIMB_R,DISGUST,SUMMARY,0.456256907348805
AU1001,LOWER_LIMB_L,DISGUST,SUMMARY,0.167739166322541
AU1001,LOWER_LIMB_R,DISGUST,SUMMARY,0.110627206969502
AU1001,WRIST_L,DISGUST,SUMMARY,0.41372197809833
AU1001,WRIST_R,DISGUST,SUMMARY,0.557093647886336
AU1001,LTORSO,DISGUST,SUMMARY,0.499182601130461
IJ1701,UTORSO,DISGUST,SUMMARY,0.219308500746963
IJ1701,HEAD,DISGUST,SUMMARY,0.265090394546413
IJ1701,UPPER_LIMB_L,DISGUST,SUMMARY,0.257676336980421
IJ1701,UPPER_LIMB_R,DISGUST,SUMMARY,0.234429402237594
IJ1701,LOWER_LIMB_L,DISGUST,SUMMARY,0.0885724724566203
IJ1701,LOWER_LIMB_R,DISGUST,SUMMARY,0.0901076275106115
IJ1701,WRIST_L,DISGUST,SUMMARY,0.246814302636558
IJ1701,WRIST_R,DISGUST,SUMMARY,0.229503719930159
IJ1701,LTORSO,DISGUST,SUMMARY,0.245830389184441
