feature,label,nValid,validFrac,nSubjects,medianObsPerValidWindow,p10ObsPerValidWindow,featureSD,featureIQR,reasonableQuality
e4_eda_mean,E4 EDA mean,1700,1,46,258,248,5.89654495598331,3.46026240643466,1
e4_eda_std,E4 EDA variability,1700,1,46,258,248,0.245576881490828,0.195452649617896,1
e4_hr_mean,E4 HR mean,1700,1,46,65,62,9.93510717571444,10.7434057036713,1
e4_hr_std,E4 HR variability,1700,1,46,65,62,2.51876510048176,2.560846181806,1
e4_skt_mean,E4 skin temperature mean,1700,1,46,258,248,1.42963296485248,2.14887779823087,1
e4_skt_std,E4 skin temperature variability,1700,1,46,258,248,0.0165721572782768,0.0125786660916993,1
e4_bvp_std,E4 BVP variability,1700,1,46,4135,3968.5,27.2191620665705,31.2682870732902,1
bh3_hr_mean,BH3 HR mean,1700,1,46,64,62,15.8818959071717,15.0403807382134,1
bh3_hr_std,BH3 HR variability,1700,1,46,64,62,2.0107423156643,2.2892920552673,1
bh3_br_mean,BH3 breathing rate mean,1700,1,46,64,62,2.89273222467702,3.44364077050644,1
bh3_br_std,BH3 breathing rate variability,1700,1,46,64,62,0.75910215981105,0.964363354355296,1
bh3_rr_mean,BH3 RR mean,1700,1,46,78,58,4731.47369650551,179.614958592133,1
bh3_rr_sdnn,BH3 RR SDNN,1700,1,46,78,58,211.873423280899,37.9510535524829,1
bh3_rr_rmssd,BH3 RR RMSSD,1700,1,46,78,58,298.824220462977,36.7674365640221,1
bh3_rsp_std,BH3 respiration variability,1700,1,46,1613,1548.5,5515.37249886238,4477.70232943364,1
bh3_hr_conf_mean,BH3 HR confidence,1700,1,46,64,62,15.0103893015125,0,1
front_clip_motion_median,Front STb clip motion,1681,0.988823529411765,46,6917,6070.6,2.48790010645844,2.68788942667112,1
bh3_bb_mean,BH3 breathing amplitude mean,1655,0.973529411764706,46,20,16,1432.65568877543,576.602073365231,1
bh3_bb_std,BH3 breathing amplitude variability,1654,0.972941176470588,46,20,16,962.75371300702,586.683140364464,1
e4_ibi_mean,E4 IBI mean,1638,0.963529411764706,46,48,12,0.146735697915922,0.174043174962293,1
e4_ibi_sdnn,E4 IBI SDNN,1622,0.954117647058824,46,48.5,13,0.0356572615796339,0.0356347024741635,1
e4_ibi_rmssd,E4 IBI RMSSD,1622,0.954117647058824,46,48.5,13,0.0441935255153258,0.0434787095627779,1
