seq,exp,valence,arousal,dominance,liking,familiarity,participantID
1,7,6.4,7.7,6.6,6.5,3,01-9TZK
2,4,5,3,4,3.1,4,01-9TZK
3,40,3,3.1,5.6,1,1,01-9TZK
4,17,3,2.9,2.7,1,1,01-9TZK
5,23,1,5,4,1,1,01-9TZK
6,2,1.7,6.4,6.1,1,2,01-9TZK
7,32,2.4,5.8,6.2,1,1,01-9TZK
8,14,8.9,2.6,2.7,7.8,5,01-9TZK
9,18,5.9,2.4,4.2,5,4,01-9TZK
10,25,3.8,3.2,3.7,4.4,1,01-9TZK
11,13,7,2.1,2.8,5,1,01-9TZK
12,1,7.5,6.1,6.7,8.8,5,01-9TZK
13,39,1,8.3,8.2,1,1,01-9TZK
14,6,6.7,6.1,4.7,6.9,2,01-9TZK
15,20,9,7.1,7.5,9,5,01-9TZK
16,36,2,6,6.5,1,1,01-9TZK
17,9,6.9,5.8,4.8,7.4,4,01-9TZK
18,37,1,6.8,6.6,1.2,1,01-9TZK
19,27,5.3,2.1,2.8,5.2,2,01-9TZK
20,3,7.6,6.6,4.8,8.4,5,01-9TZK
21,24,1.5,6.9,7.6,6.6,5,01-9TZK
22,26,3,1.5,5.2,2,1,01-9TZK
23,11,7.5,5.3,4.9,6.1,1,01-9TZK
24,34,3.5,6.8,6.6,2.4,1,01-9TZK
25,31,1.2,6.9,8.5,1,1,01-9TZK
26,10,3.1,7.1,6.5,5,1,01-9TZK
27,15,6.2,2.7,3,6.1,2,01-9TZK
28,33,2,3.4,6.5,2.1,1,01-9TZK
29,8,7.7,5,5.7,8.8,5,01-9TZK
30,28,3.6,1.8,2.8,2.8,1,01-9TZK
31,38,1,7,8.6,1,1,01-9TZK
32,19,7.2,5.6,5.7,7.3,4,01-9TZK
33,22,5,5.1,5,3.4,1,01-9TZK
34,30,3.2,7.1,7.1,5.6,2,01-9TZK
35,12,6.7,2.9,2.9,6,1,01-9TZK
36,29,5,4,5,4.4,4,01-9TZK
37,21,3.3,3,3,2,1,01-9TZK
38,5,7.5,6.3,6.9,8.2,5,01-9TZK
1,15,6.9,3,6.3,6.6,1,02-9TZO
2,19,7.6,6.4,5.9,7.6,4,02-9TZO
3,33,3.4,6,6,2.1,3,02-9TZO
4,40,3.2,5.8,5.4,2.2,2,02-9TZO
5,28,3.8,3.6,5.7,3.9,1,02-9TZO
6,24,2.4,3.6,6.3,2.6,4,02-9TZO
7,21,3.5,3,4.2,2,1,02-9TZO
8,14,6.2,3.6,5.7,6.7,4,02-9TZO
9,39,2,6.1,6.4,1.1,1,02-9TZO
10,11,6.7,4.3,4.6,6,1,02-9TZO
11,5,6.8,6.2,6.1,7.9,5,02-9TZO
12,6,6.9,5.6,5.7,8,1,02-9TZO
13,18,7.5,6.1,6.2,7.6,4,02-9TZO
14,25,7.2,2.7,6.1,7.3,1,02-9TZO
15,38,2.1,6.3,5.6,1.2,1,02-9TZO
16,4,7.1,6.1,5.9,8.3,5,02-9TZO
17,29,3.3,5.5,5.7,3.4,4,02-9TZO
18,12,7,1.9,6,7,1,02-9TZO
19,26,3.6,1.1,6.1,2.8,1,02-9TZO
20,1,6.6,5.9,6.1,6.3,5,02-9TZO
21,13,6.4,2.5,6.4,6.3,1,02-9TZO
22,17,6.7,3.7,5.2,5.9,1,02-9TZO
23,34,2.8,5.8,6,1,2,02-9TZO
24,9,6.2,4.9,5.5,7.1,4,02-9TZO
25,27,6.3,2.8,5.8,6.4,1,02-9TZO
26,31,2.9,5.9,6,2.3,1,02-9TZO
27,32,4.4,5.5,4.6,4.3,1,02-9TZO
28,37,2.4,6.3,6.3,1.4,1,02-9TZO
29,20,7.3,3.5,6.4,7.8,1,02-9TZO
30,23,3.2,5.4,4.7,3.5,1,02-9TZO
31,2,6.1,5.8,6,7.8,5,02-9TZO
32,22,7,1.8,6.3,7.4,1,02-9TZO
33,10,3.5,5.8,6.2,3,1,02-9TZO
34,36,2,6.1,6.4,1,1,02-9TZO
35,30,3.3,2.9,5.8,2.7,4,02-9TZO
36,8,7,3.9,6,7.4,5,02-9TZO
37,3,6.6,5.9,5.6,7.9,3,02-9TZO
