participantID,seq,exp,clipDynamicMedian,clipSelectedFrac,clipCandidateSamples,valence,dominance,arousal,liking,familiarity
01-9TZK,1,7,23.1641055467192,1,6400,6.4,6.6,7.7,6.5,3
01-9TZK,2,4,24.0372532185753,1,6538,5,4,3,3.1,4
01-9TZK,3,40,24.0585575980557,0.993311533888228,6728,3,5.6,3.1,1,1
01-9TZK,4,17,23.9589750853838,1,6207,3,2.7,2.9,1,1
01-9TZK,5,23,23.9708518397372,0.989573750383318,6522,1,4,5,1,1
01-9TZK,6,2,23.5588520745495,0.992232406400497,6437,1.7,6.1,6.4,1,2
01-9TZK,7,32,23.6817623717593,0.992191160393565,6403,2.4,6.2,5.8,1,1
01-9TZK,8,14,23.9934014470337,0.997827436374922,6444,8.9,2.7,2.6,7.8,5
01-9TZK,9,18,24.110555720131,0.992242048099302,6445,5.9,4.2,2.4,5,4
01-9TZK,10,25,23.9042660115586,1,6558,3.8,3.7,3.2,4.4,1
01-9TZK,11,13,23.7729294569458,1,6415,7,2.8,2.1,5,1
01-9TZK,12,1,23.748972049412,0.985460170146945,6465,7.5,6.7,6.1,8.8,5
01-9TZK,13,39,23.7369842781927,1,6497,1,8.2,8.3,1,1
01-9TZK,14,6,23.8327176139828,1,6506,6.7,4.7,6.1,6.9,2
01-9TZK,15,20,24.2048115749373,1,6403,9,7.5,7.1,9,5
01-9TZK,16,36,24.1011098605245,1,6498,2,6.5,6,1,1
01-9TZK,17,9,24.3455111415891,0.992254066615027,6455,6.9,4.8,5.8,7.4,4
01-9TZK,18,37,24.0040754895553,1,6401,1,6.6,6.8,1.2,1
01-9TZK,19,27,23.9839094472302,1,6390,5.3,2.8,2.1,5.2,2
01-9TZK,20,3,23.8589769391969,1,6870,7.6,4.8,6.6,8.4,5
01-9TZK,21,24,23.6601187154126,1,5653,1.5,7.6,6.9,6.6,5
01-9TZK,22,26,24.0573744872784,1,6232,3,5.2,1.5,2,1
01-9TZK,23,11,23.5225797634688,1,6487,7.5,4.9,5.3,6.1,1
01-9TZK,24,34,23.3184121589554,1,6690,3.5,6.6,6.8,2.4,1
01-9TZK,25,31,23.8303289677614,1,6397,1.2,8.5,6.9,1,1
01-9TZK,26,10,23.8112111716895,1,6456,3.1,6.5,7.1,5,1
01-9TZK,27,15,24.0254092891947,1,6487,6.2,3,2.7,6.1,2
01-9TZK,28,33,23.9969600082994,1,6083,2,6.5,3.4,2.1,1
01-9TZK,29,8,23.7968627454564,0.992280376717616,6477,7.7,5.7,5,8.8,5
01-9TZK,30,28,23.9803490080337,0.992287521209317,6483,3.6,2.8,1.8,2.8,1
01-9TZK,31,38,23.8470443473891,1,6006,1,8.6,7,1,1
01-9TZK,32,19,24.1152772624694,1,6491,7.2,5.7,5.6,7.3,4
01-9TZK,33,22,23.8875905536439,0.992465340566606,6636,5,5,5.1,3.4,1
01-9TZK,34,30,23.8685186220176,1,6493,3.2,7.1,7.1,5.6,2
01-9TZK,35,12,23.8804403642434,1,6488,6.7,2.9,2.9,6,1
01-9TZK,36,29,24.197755121289,1,6542,5,5,4,4.4,4
01-9TZK,37,21,24.3338172501697,1,6754,3.3,3,3,2,1
01-9TZK,38,5,23.6817623717593,1,6511,7.5,6.9,6.3,8.2,5
02-9TZO,1,15,22.0279224025046,1,6482,6.9,6.3,3,6.6,1
