participantID,seq,exp,clipDynamicMedian,preDynamicMedian,clipMinusPre,clipOverPre,logClipOverPre,clipSelectedFrac,preSelectedFrac,valence,dominance,arousal,liking,familiarity
01-9TZK,1,7,23.1641055467192,23.4607881000601,-0.296682553340908,0.987354109671186,-0.012726530162889,1,1,6.4,6.6,7.7,6.5,3
01-9TZK,2,4,24.0372532185753,24.0348847829214,0.00236843565395972,1.00009854158551,9.85367306028293e-05,1,1,5,4,3,3.1,4
01-9TZK,3,40,24.0585575980557,24.627965920429,-0.569408322373331,0.976879604096699,-0.0233918647306709,0.993311533888228,1,3,5.6,3.1,1,1
01-9TZK,4,17,23.9589750853838,23.402482229921,0.556492855462832,1.02377922350268,0.023500901323691,1,1,3,2.7,2.9,1,1
01-9TZK,5,23,23.9708518397372,25.8834163599287,-1.91256452019152,0.926108497672956,-0.0767638830862614,0.989573750383318,1,1,4,5,1,1
01-9TZK,6,2,23.5588520745495,24.7018004169323,-1.14294834238277,0.953730160429953,-0.0473744982460104,0.992232406400497,1,1.7,6.1,6.4,1,2
01-9TZK,7,32,23.6817623717593,22.8722847920701,0.809477579689208,1.03539119887008,0.0347793252274755,0.992191160393565,1,2.4,6.2,5.8,1,1
01-9TZK,8,14,23.9934014470337,24.1317912351252,-0.138389788091562,0.994265250070201,-0.00575125674674115,0.997827436374922,1,8.9,2.7,2.6,7.8,5
01-9TZK,9,18,24.110555720131,24.0242245458964,0.08633117423458,1.00359350513352,0.00358706392036001,0.992242048099302,1,5.9,4.2,2.4,5,4
01-9TZK,10,25,23.9042660115586,24.7754536755003,-0.871187663941669,0.964836661505692,-0.0357964546580989,1,1,3.8,3.7,3.2,4.4,1
01-9TZK,11,13,23.7729294569458,24.1671528874904,-0.394223430544578,0.983687634518643,-0.0164468769209598,1,1,7,2.8,2.1,5,1
01-9TZK,12,1,23.748972049412,24.627965269636,-0.878993220224061,0.964309141636326,-0.0363433494357302,0.985460170146945,1,7.5,6.7,6.1,8.8,5
01-9TZK,13,39,23.7369842781927,23.6083340754361,0.128650202756539,1.00544935539905,0.00543456138281587,1,1,1,8.2,8.3,1,1
01-9TZK,14,6,23.8327176139828,22.5451548595266,1.28756275445626,1.05711039744365,0.0555391455625298,1,1,6.7,4.7,6.1,6.9,2
01-9TZK,15,20,24.2048115749373,24.2189182002492,-0.0141066253118467,0.99941753693558,-0.000582632761928596,1,1,9,7.5,7.1,9,5
01-9TZK,16,36,24.1011098605245,23.8983117969161,0.202798063608434,1.00848587403712,0.00845007140983689,1,1,2,6.5,6,1,1
01-9TZK,17,9,24.3455111415891,22.9021324166799,1.44337872490921,1.06302376995506,0.0611174603092973,0.992254066615027,1,6.9,4.8,5.8,7.4,4
01-9TZK,18,37,24.0040754895553,24.4376899213964,-0.433614431841065,0.982256324831202,-0.0179029814386161,1,1,1,6.6,6.8,1.2,1
01-9TZK,19,27,23.9839094472302,23.692576511353,0.291332935877168,1.01229638050288,0.0122213940979301,1,1,5.3,2.8,2.1,5.2,2
01-9TZK,20,3,23.8589769391969,24.9380527805726,-1.07907584137564,0.956729747471853,-0.0442343229465145,1,1,7.6,4.8,6.6,8.4,5
01-9TZK,21,24,23.6601187154126,23.039668816204,0.620449899208584,1.02692963619218,0.026573414667565,1,1,1.5,7.6,6.9,6.6,5
01-9TZK,22,26,24.0573744872784,23.9447141419356,0.112660345342832,1.00470501943247,0.00469398542515335,1,1,3,5.2,1.5,2,1
01-9TZK,23,11,23.5225797634688,23.1358270948515,0.386752668617294,1.01671661302757,0.0165784283125882,1,1,7.5,4.9,5.3,6.1,1
01-9TZK,24,34,23.3184121589554,23.0260758907204,0.292336268235001,1.01269587877771,0.0126159618086815,1,1,3.5,6.6,6.8,2.4,1
01-9TZK,25,31,23.8303289677614,23.0890310428643,0.741297924897083,1.03210606471622,0.0316014376661043,1,1,1.2,8.5,6.9,1,1
01-9TZK,26,10,23.8112111716895,24.1777506231871,-0.366539451497633,0.984839803453589,-0.0152762871244579,1,1,3.1,6.5,7.1,5,1
01-9TZK,27,15,24.0254092891947,23.4085624393633,0.616846849831418,1.02635133410816,0.0260101190371372,1,1,6.2,3,2.7,6.1,2
01-9TZK,28,33,23.9969600082994,24.325627477868,-0.328667469568583,0.986488838988116,-0.0136032673309427,1,1,2,6.5,3.4,2.1,1
01-9TZK,29,8,23.7968627454564,23.9934000394212,-0.196537293964791,0.991808693488964,-0.008225039600562,0.992280376717616,1,7.7,5.7,5,8.8,5
01-9TZK,30,28,23.9803490080337,24.0218535398157,-0.0415045317819889,0.998272217765661,-0.00172927657157137,0.992287521209317,1,3.6,2.8,1.8,2.8,1
01-9TZK,31,38,23.8470443473891,24.0408052304078,-0.193760883018683,0.991940333064485,-0.00809232162671424,1,1,1,8.6,7,1,1
01-9TZK,32,19,24.1152772624694,24.0005177489274,0.114759513542023,1.00478154324596,0.00477014797826375,1,1,7.2,5.7,5.6,7.3,4
01-9TZK,33,22,23.8875905536439,23.7944704998866,0.0931200537573105,1.00391351653561,0.00390587865061019,0.992465340566606,1,5,5,5.1,3.4,1
01-9TZK,34,30,23.8685186220176,24.2059860511418,-0.337467429124207,0.986058513443277,-0.0140395818773439,1,1,3.2,7.1,7.1,5.6,2
01-9TZK,35,12,23.8804403642434,22.8573476504093,1.02309271383407,1.04475990519468,0.0437871032243,1,1,6.7,2.9,2.9,6,1
01-9TZK,36,29,24.197755121289,25.3051418058683,-1.10738668457929,0.956238669078611,-0.0447477432411528,1,1,5,5,4,4.4,4
01-9TZK,37,21,24.3338172501697,23.6203868931753,0.71343035699433,1.03020400809779,0.0297568487433976,1,1,3.3,3,3,2,1
01-9TZK,38,5,23.6817623717593,23.6155666518218,0.0661957199374115,1.00280305448154,0.00279913325023084,1,1,7.5,6.9,6.3,8.2,5
02-9TZO,1,15,22.0279224025046,22.0317816934992,-0.00385929099456916,0.999824830735514,-0.000175184608413623,1,1,6.9,6.3,3,6.6,1
02-9TZO,2,19,23.4401547226286,22.5867780617017,0.853376660926969,1.0377821333612,0.037085871924715,1,1,7.6,5.9,6.4,7.6,4
02-9TZO,3,33,22.1130373427675,21.7561940896976,0.356843253069918,1.01640191531656,0.016268856874299,1,1,3.4,6,6,2.1,3
02-9TZO,4,40,22.0769680512744,22.4958650409399,-0.418896989665534,0.981378933910601,-0.01879662090153,1,1,3.2,5.4,5.8,2.2,2
02-9TZO,5,28,22.5792160867476,22.6031540717109,-0.0239379849632329,0.998940944927983,-0.0010596162670993,1,1,3.8,5.7,3.6,3.9,1
02-9TZO,6,24,23.1284447596764,21.3800928370485,1.74835192262793,1.08177475822735,0.0786029870597935,1,1,2.4,6.3,3.6,2.6,4
02-9TZO,7,21,23.0433749292462,23.4535077932205,-0.410132863974315,0.982512941450367,-0.0176417633658089,1,1,3.5,4.2,3,2,1
02-9TZO,8,14,23.1665628856692,23.1358218614695,0.0307410241996458,1.00132871978284,0.00132783781588307,1,1,6.2,5.7,3.6,6.7,4
02-9TZO,9,39,23.2866548388857,23.1444369197636,0.14221791912211,1.00614479927143,0.00612599697728492,1,1,2,6.4,6.1,1.1,1
02-9TZO,10,11,22.8673078224242,22.8809943887848,-0.0136865663605619,0.99940183690761,-0.000598342063305663,1,1,6.7,4.6,4.3,6,1
02-9TZO,11,5,22.8648183218101,23.9922150644376,-1.12739674262748,0.953009893434202,-0.0481299940237918,1,1,6.8,6.1,6.2,7.9,5
02-9TZO,12,6,22.8099805667346,21.5907263074523,1.21925425928235,1.05647120165946,0.0549342994530154,1,1,6.9,5.7,5.6,8,1
02-9TZO,13,18,22.1593258772178,20.9904749346205,1.16885094259735,1.05568482591452,0.0541896804277041,0.988939087085216,1,7.5,6.2,6.1,7.6,4
02-9TZO,14,25,23.0877983129601,23.6721454120239,-0.584347099063823,0.975314991991938,-0.0249947914500684,1,1,7.2,6.1,2.7,7.3,1
02-9TZO,15,38,23.5878297633315,22.3447948755115,1.24303488782002,1.05562972919399,0.0541374885642013,1,1,2.1,5.6,6.3,1.2,1
02-9TZO,16,4,22.4692793764363,21.3987210882393,1.07055828819705,1.05002907808287,0.0488178571982322,0.988350705088903,1,7.1,5.9,6.1,8.3,5
02-9TZO,17,29,22.2413787416266,23.5165289078465,-1.27515016621988,0.945776429369454,-0.0557490704516348,1,1,3.3,5.7,5.5,3.4,4
02-9TZO,18,12,22.295061821106,21.9955958488248,0.299465972281155,1.01361481518116,0.0135229663161152,1,1,7,6,1.9,7,1
02-9TZO,19,26,22.4451986139095,23.0779338398274,-0.632735225917948,0.9725826744149,-0.0278001948510473,1,1,3.6,6.1,1.1,2.8,1
02-9TZO,20,1,22.9617088427223,22.9133144928116,0.0483943499106942,1.00211206239612,0.00210983512787061,1,1,6.6,6.1,5.9,6.3,5
02-9TZO,21,13,22.4375887819857,22.1040237000069,0.333565081978865,1.01509069509271,0.0149779632729949,1,1,6.4,6.4,2.5,6.3,1
02-9TZO,22,17,22.8374159039962,21.8397625297034,0.997653374292778,1.04568059624897,0.0446679616971337,1,1,6.7,5.2,3.7,5.9,1
02-9TZO,23,34,21.754886783858,21.467776595673,0.287110188185029,1.01337400670747,0.0132853641426673,1,1,2.8,6,5.8,1,2
02-9TZO,24,9,22.9815333306307,23.4971555487869,-0.51562221815626,0.978055972899116,-0.0221883785818219,1,1,6.2,5.5,4.9,7.1,4
02-9TZO,25,27,22.4654788968937,23.1001228491939,-0.63464395230012,0.972526381939901,-0.0278580758987251,1,1,6.3,5.8,2.8,6.4,1
02-9TZO,26,31,22.7675154727261,21.7090469511554,1.05846852157064,1.04875702392427,0.0476056762016641,1,1,2.9,6,5.9,2.3,1
02-9TZO,27,32,22.061491731075,21.4969249819366,0.56456674913834,1.02626267475989,0.0259237322659818,1,1,4.4,4.6,5.5,4.3,1
02-9TZO,28,37,22.422361370132,22.0821242638419,0.340237106290136,1.01540780688601,0.0152903119849661,1,1,2.4,6.3,6.3,1.4,1
02-9TZO,29,20,21.7234642059014,22.152896401205,-0.429432195303637,0.98061507680412,-0.0195752748025138,1,1,7.3,6.4,3.5,7.8,1
02-9TZO,30,23,23.1247526101724,21.439916127637,1.68483648253536,1.07858409858066,0.0756491611650528,1,1,3.2,4.7,5.4,3.5,1
02-9TZO,31,2,21.9658134751245,22.2375383560917,-0.271724880967248,0.987780802145629,-0.0122944660253678,1,1,6.1,6,5.8,7.8,5
02-9TZO,32,22,22.6999076338575,23.0581922332718,-0.358284599414297,0.984461722073021,-0.015660262234732,0.984299516908213,1,7,6.3,1.8,7.4,1
02-9TZO,33,10,21.9865359452756,22.3829750383595,-0.396439093083863,0.982288364598341,-0.0178703634306737,1,1,3.5,6.2,5.8,3,1
02-9TZO,34,36,22.4870066214179,22.8336766287018,-0.346670007283869,0.984817600208628,-0.0152988324106797,1,1,2,6.4,6.1,1,1
02-9TZO,35,30,22.5565145287784,22.8872140789228,-0.330699550144335,0.9855509041422,-0.014554500611009,1,1,3.3,5.8,2.9,2.7,4
02-9TZO,36,8,22.2516140752295,22.3931465185648,-0.141532443335294,0.99367965358428,-0.00634040436525109,0.991493968450356,1,7,6,3.9,7.4,5
02-9TZO,37,3,21.9580375069269,23.6010992826215,-1.64306177569451,0.930381981109483,-0.0721600447864999,1,1,6.6,5.6,5.9,7.9,3
02-9TZO,38,7,23.2744289469111,23.434082584033,-0.159653637121885,0.993187118098207,-0.0068361955307007,1,1,7.9,6.1,5.9,8.3,5
03-9U4C,1,6,23.9161699344176,23.9993319525757,-0.0831620181580384,0.996534819455709,-0.00347119818789567,0.992286331379204,1,8.9,4.8,7.1,9,1
03-9U4C,2,21,23.851818172139,24.5214110153719,-0.669592843232884,0.972693543499062,-0.0276862068392054,1,1,1,2.6,3.2,1,1
03-9U4C,3,34,24.1801049491811,22.3052719368928,1.87483301228827,1.0840533582192,0.0807071252554647,0.997748761819,1,2.9,7.5,7.8,9,2
03-9U4C,4,38,24.0727500430604,22.1400507115312,1.93269933152922,1.08729425947171,0.0836922793899618,0.996158343076666,1,3.2,7.7,8.1,9,1
03-9U4C,5,2,24.8545960959133,21.9035284344133,2.95106766150002,1.13473024085304,0.126394949427372,0.96551724137931,1,8.1,5,5.9,8.9,1
03-9U4C,6,31,22.8523667507066,23.9708499576188,-1.11848320691221,0.95333986033496,-0.0477838173545829,0.979010025062657,1,2.1,7.1,3.3,9,1
