participantID,seq,exp,nSamples,medianVal,maxVal
01-9TZK,1,7,500,23.4607881000601,27.6640696467214
01-9TZK,2,4,500,24.0348847829214,28.0340440835038
01-9TZK,3,40,500,24.627965920429,30.3262520122969
01-9TZK,4,17,500,23.402482229921,34.6127894400245
01-9TZK,5,23,500,25.8834163599287,31.9015132169322
01-9TZK,6,2,500,24.7018004169323,37.5276755364307
01-9TZK,7,32,500,22.8722847920701,35.2596611554611
01-9TZK,8,14,500,24.1317912351252,29.215314826463
01-9TZK,9,18,500,24.0242245458964,29.1392255271273
01-9TZK,10,25,500,24.7754536755003,30.429316780036
01-9TZK,11,13,500,24.1671528874904,29.9180535361521
01-9TZK,12,1,500,24.627965269636,28.6863892536838
01-9TZK,13,39,500,23.6083340754361,29.8399408677575
01-9TZK,14,6,500,22.5451548595266,37.9680217650826
01-9TZK,15,20,500,24.2189182002492,28.636736450073
01-9TZK,16,36,500,23.8983117969161,37.4122148409143
01-9TZK,17,9,500,22.9021324166799,36.1209466805775
01-9TZK,18,37,500,24.4376899213964,30.3825124997399
01-9TZK,19,27,500,23.692576511353,27.6928628278893
01-9TZK,20,3,500,24.9380527805726,35.5650844854917
01-9TZK,21,24,500,23.039668816204,32.1060635002729
01-9TZK,22,26,500,23.9447141419356,28.264581112643
01-9TZK,23,11,500,23.1358270948515,27.1782967252782
01-9TZK,24,34,500,23.0260758907204,28.5092312158616
01-9TZK,25,31,500,23.0890310428643,29.765448340361
01-9TZK,26,10,500,24.1777506231871,29.3494511223196
01-9TZK,27,15,500,23.4085624393633,28.8920290850269
01-9TZK,28,33,500,24.325627477868,31.4105945965713
01-9TZK,29,8,500,23.9934000394212,27.2201545919491
01-9TZK,30,28,500,24.0218535398157,28.2545092806898
01-9TZK,31,38,500,24.0408052304078,29.2464736832873
01-9TZK,32,19,500,24.0005177489274,27.6578957795112
01-9TZK,33,22,500,23.7944704998866,28.2484644578115
01-9TZK,34,30,500,24.2059860511418,32.4324157651756
01-9TZK,35,12,500,22.8573476504093,28.0746261025534
01-9TZK,36,29,500,25.3051418058683,29.2484200096918
01-9TZK,37,21,500,23.6203868931753,29.7692730044745
01-9TZK,38,5,500,23.6155666518218,27.5403293381112
02-9TZO,1,15,500,22.0317816934992,27.2452384442311
