participantID,nSeq,preValue,walkValue
01-9TZK,38,967.841923878438,981.685144617728
02-9TZO,38,978.414137326557,973.013816321927
03-9U4C,38,971.571013758602,978.472289773544
04-9U66,38,985.839351718142,984.946115989847
05-9U8B,38,995.414468069861,976.445726390571
06-9UA7,38,974.41072635808,994.184929984331
07-9UAD,38,975.984624069421,981.992269002091
08-9UB2,38,982.063645804383,973.334916124692
09-9UDP,19,986.830323567601,990.826529707687
10-9UHM,38,988.278630362898,983.502720876771
11-9UIZ,38,984.890146022681,980.986861947264
12-9UN3,38,977.72335818519,988.828057927024
13-9UOF,38,1001.66045646196,982.468408114491
14-9UP0,23,971.030583382194,993.772239642541
15-9UR2,38,984.547583835537,982.085309295987
16-9USC,38,978.326142841373,988.593909812624
17-9UTL,38,978.150153422635,993.45835689007
18-9UVM,38,973.071988255745,982.858197798205
19-9UY7,38,984.742126160018,995.449723480971
20-9V52,38,972.079007233268,975.16846167745
21-9V5J,38,980.935063786087,974.596707943046
22-9V5N,38,980.265808653302,974.821105977104
23-9VIV,38,972.493094583519,976.286169643996
24-9VL3,38,971.119757209352,972.181071573324
25-9VNK,38,987.274495117156,973.4841285536
26-9VTJ,38,993.512342166826,977.490432619759
27-9VUW,38,975.349858560072,989.229069122579
28-9VXK,38,976.198296270947,984.39309142616
29-9VXR,38,987.071287262602,981.948960974607
30-9VYD,38,978.42195571458,990.378312597652
31-9VZJ,38,983.631182133369,972.92777528795
32-9VZN,38,978.611544884995,976.759108286162
33-9VZR,38,977.287934577745,983.411273497794
34-9W1R,24,982.432991152362,982.071621968311
36-9W4C,38,974.891483573412,985.873623720915
37-9W4X,38,978.453597189688,982.378674132149
38-9W6A,38,984.381564172242,983.055330819937
39-9W6G,38,983.969552664196,981.958027695694
40-9W74,38,984.422029397875,983.148809257388
41-9W7K,38,992.313017775545,983.706867782744
42-9W7R,38,976.025205310947,973.519117783633
43-9W91,38,978.298183614545,979.401856612978
44-9WAY,38,973.348079072773,994.044135810371
45-9WBS,38,981.092850477615,968.781695988837
46-9WCE,38,986.692951989065,992.862310261202
47-9WCU,38,980.108791848219,982.761174361509
48-9WDR,38,980.302231981152,977.830406644263
49-9WEW,38,974.555196569146,980.826183186265
