participantID,seq,exp,nSamples,medianVal,maxVal
01-9TZK,1,7,1908,141.54265524638,249.733861682294
01-9TZK,2,4,1906,147.424538954167,242.067634971674
01-9TZK,3,40,1904,131.297664568819,253.384357033403
01-9TZK,4,17,1906,156.213770561595,277.944690781315
01-9TZK,5,23,1904,135.685602140639,252.179567082674
01-9TZK,6,2,1905,155.806974773946,265.847894411889
01-9TZK,7,32,1907,172.529275826188,263.025283416307
01-9TZK,8,14,1908,52.7493868290597,260.831984121379
01-9TZK,9,18,1905,126.672519328296,226.22487590319
01-9TZK,10,25,1906,141.299537283217,233.743463693906
01-9TZK,11,13,1906,114.58291240526,209.727871575289
01-9TZK,12,1,1908,150.795507335381,230.582169208305
01-9TZK,13,39,1905,142.729337680254,225.498258257859
01-9TZK,14,6,1906,133.250623609879,266.117343121012
01-9TZK,15,20,1905,141.07859668363,258.319899354221
01-9TZK,16,36,1906,116.433274157475,225.714244590288
01-9TZK,17,9,1903,130.887311805054,248.10376409468
01-9TZK,18,37,1905,151.142052304199,243.979009701029
01-9TZK,19,27,1905,139.912507278362,233.599732935454
01-9TZK,20,3,1905,162.527098730175,253.362339494116
01-9TZK,21,24,1905,161.862717993114,306.656637788928
01-9TZK,22,26,1908,164.421763713074,325.765302282499
01-9TZK,23,11,1906,141.505410212997,227.826121360956
01-9TZK,24,34,1905,150.111081365894,251.90447507707
01-9TZK,25,31,1906,128.092510228148,230.767004841982
01-9TZK,26,10,1904,176.430323816582,315.085230272573
01-9TZK,27,15,1904,157.663880062365,261.838983370362
01-9TZK,28,33,1906,169.392013844329,276.680407730645
01-9TZK,29,8,1906,155.322489494251,268.447315162038
01-9TZK,30,28,1905,152.398549854378,234.228815223657
01-9TZK,31,38,1907,160.702563803325,283.31628459666
01-9TZK,32,19,1904,145.354632927912,244.940259286108
01-9TZK,33,22,1903,124.518718316201,219.992446947487
01-9TZK,34,30,1904,124.858381834827,207.327782853433
01-9TZK,35,12,1904,140.055847424124,239.057424199323
01-9TZK,36,29,1903,129.773535412483,230.387055047533
