subjectID,markerGroup,emotionA,emotionB,fearSummary
HH2603,UTORSO,FEAR,SUMMARY,0.101486323821668
HH2603,HEAD,FEAR,SUMMARY,0.0611910337905655
HH2603,UPPER_LIMB_L,FEAR,SUMMARY,0.113850786216126
HH2603,UPPER_LIMB_R,FEAR,SUMMARY,0.0986440151766566
HH2603,LOWER_LIMB_L,FEAR,SUMMARY,0.0873668883733169
HH2603,LOWER_LIMB_R,FEAR,SUMMARY,0.0744685283504227
HH2603,WRIST_L,FEAR,SUMMARY,0.130980260956842
HH2603,WRIST_R,FEAR,SUMMARY,0.150217464034794
HH2603,LTORSO,FEAR,SUMMARY,0.105816939769064
KN9309,UTORSO,FEAR,SUMMARY,0.321223247447597
KN9309,HEAD,FEAR,SUMMARY,0.327453061541931
KN9309,UPPER_LIMB_L,FEAR,SUMMARY,0.343913008037264
KN9309,UPPER_LIMB_R,FEAR,SUMMARY,0.319469921282588
KN9309,LOWER_LIMB_L,FEAR,SUMMARY,0.22060169735659
KN9309,LOWER_LIMB_R,FEAR,SUMMARY,0.205487295995555
KN9309,WRIST_L,FEAR,SUMMARY,0.351303928252004
KN9309,WRIST_R,FEAR,SUMMARY,0.321468960116836
KN9309,LTORSO,FEAR,SUMMARY,0.310975304343646
XJ1505,UTORSO,FEAR,SUMMARY,0.218832689558685
XJ1505,HEAD,FEAR,SUMMARY,0.185279357644697
XJ1505,UPPER_LIMB_L,FEAR,SUMMARY,0.230712612914018
XJ1505,UPPER_LIMB_R,FEAR,SUMMARY,0.250016728002676
XJ1505,LOWER_LIMB_L,FEAR,SUMMARY,0.168729786996766
XJ1505,LOWER_LIMB_R,FEAR,SUMMARY,0.134033121445299
XJ1505,WRIST_L,FEAR,SUMMARY,0.258113081298093
XJ1505,WRIST_R,FEAR,SUMMARY,0.275008364001338
XJ1505,LTORSO,FEAR,SUMMARY,0.208865841418535
AC1602,UTORSO,FEAR,SUMMARY,0.439824812190152
AC1602,HEAD,FEAR,SUMMARY,0.387186349949816
AC1602,UPPER_LIMB_L,FEAR,SUMMARY,0.476279692204751
AC1602,UPPER_LIMB_R,FEAR,SUMMARY,0.407193041150887
AC1602,LOWER_LIMB_L,FEAR,SUMMARY,0.394042043046727
AC1602,LOWER_LIMB_R,FEAR,SUMMARY,0.34922493587599
AC1602,WRIST_L,FEAR,SUMMARY,0.486617597858816
AC1602,WRIST_R,FEAR,SUMMARY,0.414185346269655
AC1602,LTORSO,FEAR,SUMMARY,0.482469053195049
AK1703,UTORSO,FEAR,SUMMARY,0.119802913713921
AK1703,HEAD,FEAR,SUMMARY,0.169688859150218
AK1703,UPPER_LIMB_L,FEAR,SUMMARY,0.163131482101037
AK1703,UPPER_LIMB_R,FEAR,SUMMARY,0.153094680495149
AK1703,LOWER_LIMB_L,FEAR,SUMMARY,0.0819393331102933
AK1703,LOWER_LIMB_R,FEAR,SUMMARY,0.0905369172842216
AK1703,WRIST_L,FEAR,SUMMARY,0.202576112412178
AK1703,WRIST_R,FEAR,SUMMARY,0.181666109066577
AK1703,LTORSO,FEAR,SUMMARY,0.103646704583473
AU1001,UTORSO,FEAR,SUMMARY,0.12576112412178
AU1001,HEAD,FEAR,SUMMARY,0.156922635005745
AU1001,UPPER_LIMB_L,FEAR,SUMMARY,0.175878220140515
AU1001,UPPER_LIMB_R,FEAR,SUMMARY,0.121445299431248
AU1001,LOWER_LIMB_L,FEAR,SUMMARY,0.0806429129028661
AU1001,LOWER_LIMB_R,FEAR,SUMMARY,0.0968399282216613
AU1001,WRIST_L,FEAR,SUMMARY,0.206088992974239
AU1001,WRIST_R,FEAR,SUMMARY,0.111910337905654
AU1001,LTORSO,FEAR,SUMMARY,0.218481120973797
IJ1701,UTORSO,FEAR,SUMMARY,0.313908573861735
IJ1701,HEAD,FEAR,SUMMARY,0.199197055871529
IJ1701,UPPER_LIMB_L,FEAR,SUMMARY,0.426630980260957
IJ1701,UPPER_LIMB_R,FEAR,SUMMARY,0.339076614252258
IJ1701,LOWER_LIMB_L,FEAR,SUMMARY,0.208640013382402
IJ1701,LOWER_LIMB_R,FEAR,SUMMARY,0.161731905877105
IJ1701,WRIST_L,FEAR,SUMMARY,0.431917029106725
IJ1701,WRIST_R,FEAR,SUMMARY,0.344596855135497
IJ1701,LTORSO,FEAR,SUMMARY,0.386751421880227
LE2202,UTORSO,FEAR,SUMMARY,0.397320478116731
LE2202,HEAD,FEAR,SUMMARY,0.430612244897959
LE2202,UPPER_LIMB_L,FEAR,SUMMARY,0.402341920374707
LE2202,UPPER_LIMB_R,FEAR,SUMMARY,0.434827701572432
LE2202,LOWER_LIMB_L,FEAR,SUMMARY,0.250418200066912
LE2202,LOWER_LIMB_R,FEAR,SUMMARY,0.193431470949035
LE2202,WRIST_L,FEAR,SUMMARY,0.43593174974908
LE2202,WRIST_R,FEAR,SUMMARY,0.416861826697892
LE2202,LTORSO,FEAR,SUMMARY,0.394881231180997
MB0502,UTORSO,FEAR,SUMMARY,0.17687581739104
MB0502,HEAD,FEAR,SUMMARY,0.226564068250251
MB0502,UPPER_LIMB_L,FEAR,SUMMARY,0.176513884242221
MB0502,UPPER_LIMB_R,FEAR,SUMMARY,0.1796587487454
MB0502,LOWER_LIMB_L,FEAR,SUMMARY,0.140821902531504
MB0502,LOWER_LIMB_R,FEAR,SUMMARY,0.107268317162931
MB0502,WRIST_L,FEAR,SUMMARY,0.192372030779525
MB0502,WRIST_R,FEAR,SUMMARY,0.218467714954834
MB0502,LTORSO,FEAR,SUMMARY,0.148813761054217
MJ1800,UTORSO,FEAR,SUMMARY,0.317117308920588
MJ1800,HEAD,FEAR,SUMMARY,0.363900970224155
MJ1800,UPPER_LIMB_L,FEAR,SUMMARY,0.349113415858147
MJ1800,UPPER_LIMB_R,FEAR,SUMMARY,0.340582134493142
MJ1800,LOWER_LIMB_L,FEAR,SUMMARY,0.251119622470206
MJ1800,LOWER_LIMB_R,FEAR,SUMMARY,0.208473906430985
MJ1800,WRIST_L,FEAR,SUMMARY,0.383071261291402
MJ1800,WRIST_R,FEAR,SUMMARY,0.35480093676815
MJ1800,LTORSO,FEAR,SUMMARY,0.330518253408883
MS2002,UTORSO,FEAR,SUMMARY,0.174031778127841
MS2002,HEAD,FEAR,SUMMARY,0.109721536057858
MS2002,UPPER_LIMB_L,FEAR,SUMMARY,0.168049514887922
MS2002,UPPER_LIMB_R,FEAR,SUMMARY,0.133757109401138
MS2002,LOWER_LIMB_L,FEAR,SUMMARY,0.14303639900033
MS2002,LOWER_LIMB_R,FEAR,SUMMARY,0.136227234752292
MS2002,WRIST_L,FEAR,SUMMARY,0.19253931080629
