subjectID,markerGroup,emotionA,emotionB,fearSummary
HH2603,UTORSO,FEAR,SUMMARY,0.153330420660815
HH2603,HEAD,FEAR,SUMMARY,0.0756488907346671
HH2603,UPPER_LIMB_L,FEAR,SUMMARY,0.140723349952472
HH2603,UPPER_LIMB_R,FEAR,SUMMARY,0.152055474712957
HH2603,LOWER_LIMB_L,FEAR,SUMMARY,0.0598381374754427
HH2603,LOWER_LIMB_R,FEAR,SUMMARY,0.0447210414564399
HH2603,WRIST_L,FEAR,SUMMARY,0.216572504708098
HH2603,WRIST_R,FEAR,SUMMARY,0.30149638174974
HH2603,LTORSO,FEAR,SUMMARY,0.152478420023939
KN9309,UTORSO,FEAR,SUMMARY,0.264409351248056
KN9309,HEAD,FEAR,SUMMARY,0.202051152967293
KN9309,UPPER_LIMB_L,FEAR,SUMMARY,0.422294696344009
KN9309,UPPER_LIMB_R,FEAR,SUMMARY,0.379685316480377
KN9309,LOWER_LIMB_L,FEAR,SUMMARY,0.184564947494712
KN9309,LOWER_LIMB_R,FEAR,SUMMARY,0.17779106326925
KN9309,WRIST_L,FEAR,SUMMARY,0.485299226993772
KN9309,WRIST_R,FEAR,SUMMARY,0.537971968912609
KN9309,LTORSO,FEAR,SUMMARY,0.457240784054226
XJ1505,UTORSO,FEAR,SUMMARY,0.111229044442917
XJ1505,HEAD,FEAR,SUMMARY,0.126432384781781
XJ1505,UPPER_LIMB_L,FEAR,SUMMARY,0.133662250576285
XJ1505,UPPER_LIMB_R,FEAR,SUMMARY,0.110109544031134
XJ1505,LOWER_LIMB_L,FEAR,SUMMARY,0.0938748281134335
XJ1505,LOWER_LIMB_R,FEAR,SUMMARY,0.0866931235268516
XJ1505,WRIST_L,FEAR,SUMMARY,0.149008834302952
XJ1505,WRIST_R,FEAR,SUMMARY,0.199092558643468
XJ1505,LTORSO,FEAR,SUMMARY,0.195187556466056
AC1602,UTORSO,FEAR,SUMMARY,0.304861850761788
AC1602,HEAD,FEAR,SUMMARY,0.195755011038648
AC1602,UPPER_LIMB_L,FEAR,SUMMARY,0.305935547856667
AC1602,UPPER_LIMB_R,FEAR,SUMMARY,0.285505446630149
AC1602,LOWER_LIMB_L,FEAR,SUMMARY,0.261450293931915
AC1602,LOWER_LIMB_R,FEAR,SUMMARY,0.23845889257413
AC1602,WRIST_L,FEAR,SUMMARY,0.315257094117641
AC1602,WRIST_R,FEAR,SUMMARY,0.2878221976281
AC1602,LTORSO,FEAR,SUMMARY,0.333908729316499
AK1703,UTORSO,FEAR,SUMMARY,0.132322193881414
AK1703,HEAD,FEAR,SUMMARY,0.0971224957236661
AK1703,UPPER_LIMB_L,FEAR,SUMMARY,0.151130915201036
AK1703,UPPER_LIMB_R,FEAR,SUMMARY,0.100844213610541
AK1703,LOWER_LIMB_L,FEAR,SUMMARY,0.0825357197511764
AK1703,LOWER_LIMB_R,FEAR,SUMMARY,0.0685298989765358
AK1703,WRIST_L,FEAR,SUMMARY,0.113934858406156
AK1703,WRIST_R,FEAR,SUMMARY,0.0924190685568899
AK1703,LTORSO,FEAR,SUMMARY,0.103419950884384
AU1001,UTORSO,FEAR,SUMMARY,0.139134212824809
AU1001,HEAD,FEAR,SUMMARY,0.0786280753304349
AU1001,UPPER_LIMB_L,FEAR,SUMMARY,0.19248305952214
AU1001,UPPER_LIMB_R,FEAR,SUMMARY,0.156527807647017
AU1001,LOWER_LIMB_L,FEAR,SUMMARY,0.0760472578880352
AU1001,LOWER_LIMB_R,FEAR,SUMMARY,0.0667540139780296
AU1001,WRIST_L,FEAR,SUMMARY,0.213567858238963
AU1001,WRIST_R,FEAR,SUMMARY,0.175564766189871
AU1001,LTORSO,FEAR,SUMMARY,0.177014526881892
IJ1701,UTORSO,FEAR,SUMMARY,0.235677235031362
IJ1701,HEAD,FEAR,SUMMARY,0.204872744015977
IJ1701,UPPER_LIMB_L,FEAR,SUMMARY,0.302835447973693
IJ1701,UPPER_LIMB_R,FEAR,SUMMARY,0.280258262661345
IJ1701,LOWER_LIMB_L,FEAR,SUMMARY,0.165278708488066
IJ1701,LOWER_LIMB_R,FEAR,SUMMARY,0.125923629926154
IJ1701,WRIST_L,FEAR,SUMMARY,0.350976788302905
IJ1701,WRIST_R,FEAR,SUMMARY,0.343925287644944
IJ1701,LTORSO,FEAR,SUMMARY,0.323732777949984
LE2202,UTORSO,FEAR,SUMMARY,0.304250573054727
LE2202,HEAD,FEAR,SUMMARY,0.373980200393801
LE2202,UPPER_LIMB_L,FEAR,SUMMARY,0.390204339465999
LE2202,UPPER_LIMB_R,FEAR,SUMMARY,0.280549938305106
LE2202,LOWER_LIMB_L,FEAR,SUMMARY,0.145715795303964
LE2202,LOWER_LIMB_R,FEAR,SUMMARY,0.153117764475806
LE2202,WRIST_L,FEAR,SUMMARY,0.457820079052463
LE2202,WRIST_R,FEAR,SUMMARY,0.301329441073997
LE2202,LTORSO,FEAR,SUMMARY,0.304258619375082
MB0502,UTORSO,FEAR,SUMMARY,0.116532886983121
MB0502,HEAD,FEAR,SUMMARY,0.117263755773645
MB0502,UPPER_LIMB_L,FEAR,SUMMARY,0.128065155089149
MB0502,UPPER_LIMB_R,FEAR,SUMMARY,0.127503625295598
MB0502,LOWER_LIMB_L,FEAR,SUMMARY,0.0568982491940935
MB0502,LOWER_LIMB_R,FEAR,SUMMARY,0.0784817094507787
MB0502,WRIST_L,FEAR,SUMMARY,0.196763133018506
MB0502,WRIST_R,FEAR,SUMMARY,0.186952363961808
MB0502,LTORSO,FEAR,SUMMARY,0.154915552537708
MJ1800,UTORSO,FEAR,SUMMARY,0.4251724139864
MJ1800,HEAD,FEAR,SUMMARY,0.38509810260056
MJ1800,UPPER_LIMB_L,FEAR,SUMMARY,0.443202771841366
MJ1800,UPPER_LIMB_R,FEAR,SUMMARY,0.398329109676025
MJ1800,LOWER_LIMB_L,FEAR,SUMMARY,0.205953240145508
MJ1800,LOWER_LIMB_R,FEAR,SUMMARY,0.148807454503456
MJ1800,WRIST_L,FEAR,SUMMARY,0.486624284690383
MJ1800,WRIST_R,FEAR,SUMMARY,0.424228895912207
MJ1800,LTORSO,FEAR,SUMMARY,0.409615848692804
MS2002,UTORSO,FEAR,SUMMARY,0.164633026557382
MS2002,HEAD,FEAR,SUMMARY,0.152263081762954
MS2002,UPPER_LIMB_L,FEAR,SUMMARY,0.13177464315717
MS2002,UPPER_LIMB_R,FEAR,SUMMARY,0.149319752371477
MS2002,LOWER_LIMB_L,FEAR,SUMMARY,0.0527454791098028
MS2002,LOWER_LIMB_R,FEAR,SUMMARY,0.0765539722615868
MS2002,WRIST_L,FEAR,SUMMARY,0.115791114069112
