subjectID,markerGroup,emotionA,emotionB,fearSummary
HH2603,UTORSO,JOY,SUMMARY,0.0918157141792717
HH2603,HEAD,JOY,SUMMARY,0.101538976246236
HH2603,UPPER_LIMB_L,JOY,SUMMARY,0.0910003345600536
HH2603,UPPER_LIMB_R,JOY,SUMMARY,0.0971164617280624
HH2603,LOWER_LIMB_L,JOY,SUMMARY,0.0809731309573097
HH2603,LOWER_LIMB_R,JOY,SUMMARY,0.0573477878110176
HH2603,WRIST_L,JOY,SUMMARY,0.123452659752426
HH2603,WRIST_R,JOY,SUMMARY,0.127132820341251
HH2603,LTORSO,JOY,SUMMARY,0.0946003001488332
KN9309,UTORSO,JOY,SUMMARY,0.178670275859971
KN9309,HEAD,JOY,SUMMARY,0.179023084643694
KN9309,UPPER_LIMB_L,JOY,SUMMARY,0.20746068919371
KN9309,UPPER_LIMB_R,JOY,SUMMARY,0.183606557377049
KN9309,LOWER_LIMB_L,JOY,SUMMARY,0.11560443849671
KN9309,LOWER_LIMB_R,JOY,SUMMARY,0.105999776959964
KN9309,WRIST_L,JOY,SUMMARY,0.204416192706591
KN9309,WRIST_R,JOY,SUMMARY,0.181498829039813
KN9309,LTORSO,JOY,SUMMARY,0.184860816513719
XJ1505,UTORSO,JOY,SUMMARY,0.176951853766842
XJ1505,HEAD,JOY,SUMMARY,0.178487788558046
XJ1505,UPPER_LIMB_L,JOY,SUMMARY,0.194145199063232
XJ1505,UPPER_LIMB_R,JOY,SUMMARY,0.208665105386417
XJ1505,LOWER_LIMB_L,JOY,SUMMARY,0.137281141964983
XJ1505,LOWER_LIMB_R,JOY,SUMMARY,0.116580238652838
XJ1505,WRIST_L,JOY,SUMMARY,0.220976915356306
XJ1505,WRIST_R,JOY,SUMMARY,0.215958514553362
XJ1505,LTORSO,JOY,SUMMARY,0.159785881565741
AC1602,UTORSO,JOY,SUMMARY,0.194698743879072
AC1602,HEAD,JOY,SUMMARY,0.165674138507862
AC1602,UPPER_LIMB_L,JOY,SUMMARY,0.181733021077283
AC1602,UPPER_LIMB_R,JOY,SUMMARY,0.183238541318167
AC1602,LOWER_LIMB_L,JOY,SUMMARY,0.140877662540426
AC1602,LOWER_LIMB_R,JOY,SUMMARY,0.114154678264749
AC1602,WRIST_L,JOY,SUMMARY,0.191702910672466
AC1602,WRIST_R,JOY,SUMMARY,0.199732351957176
AC1602,LTORSO,JOY,SUMMARY,0.187487453997993
AK1703,UTORSO,JOY,SUMMARY,0.167766659569938
AK1703,HEAD,JOY,SUMMARY,0.19548343927735
AK1703,UPPER_LIMB_L,JOY,SUMMARY,0.165841418534627
AK1703,UPPER_LIMB_R,JOY,SUMMARY,0.169923051187688
AK1703,LOWER_LIMB_L,JOY,SUMMARY,0.0909863945578231
AK1703,LOWER_LIMB_R,JOY,SUMMARY,0.113107091161331
AK1703,WRIST_L,JOY,SUMMARY,0.183171629307461
AK1703,WRIST_R,JOY,SUMMARY,0.20541987286718
AK1703,LTORSO,JOY,SUMMARY,0.139243894279023
AU1001,UTORSO,JOY,SUMMARY,0.0993324006204569
AU1001,HEAD,JOY,SUMMARY,0.166477082636333
AU1001,UPPER_LIMB_L,JOY,SUMMARY,0.12338574774172
AU1001,UPPER_LIMB_R,JOY,SUMMARY,0.12609568417531
AU1001,LOWER_LIMB_L,JOY,SUMMARY,0.0693654510984722
AU1001,LOWER_LIMB_R,JOY,SUMMARY,0.0698774293622069
AU1001,WRIST_L,JOY,SUMMARY,0.139846102375376
AU1001,WRIST_R,JOY,SUMMARY,0.122114419538307
AU1001,LTORSO,JOY,SUMMARY,0.160775999419582
IJ1701,UTORSO,JOY,SUMMARY,0.128653547857295
IJ1701,HEAD,JOY,SUMMARY,0.154098360655738
IJ1701,UPPER_LIMB_L,JOY,SUMMARY,0.232719973235196
IJ1701,UPPER_LIMB_R,JOY,SUMMARY,0.122616259618602
IJ1701,LOWER_LIMB_L,JOY,SUMMARY,0.0945829151332664
IJ1701,LOWER_LIMB_R,JOY,SUMMARY,0.0723486115757778
IJ1701,WRIST_L,JOY,SUMMARY,0.284376045500167
IJ1701,WRIST_R,JOY,SUMMARY,0.155068584810974
IJ1701,LTORSO,JOY,SUMMARY,0.15029595565588
LE2202,UTORSO,JOY,SUMMARY,0.105979500593084
LE2202,HEAD,JOY,SUMMARY,0.198260287721646
LE2202,UPPER_LIMB_L,JOY,SUMMARY,0.198260287721646
LE2202,UPPER_LIMB_R,JOY,SUMMARY,0.0985948477751756
LE2202,LOWER_LIMB_L,JOY,SUMMARY,0.0887281141964983
LE2202,LOWER_LIMB_R,JOY,SUMMARY,0.0856609726136073
LE2202,WRIST_L,JOY,SUMMARY,0.2305118768819
LE2202,WRIST_R,JOY,SUMMARY,0.117263298762128
LE2202,LTORSO,JOY,SUMMARY,0.132084309133489
MB0502,UTORSO,JOY,SUMMARY,0.145792146963107
MB0502,HEAD,JOY,SUMMARY,0.11378387420542
MB0502,UPPER_LIMB_L,JOY,SUMMARY,0.159150217464035
MB0502,UPPER_LIMB_R,JOY,SUMMARY,0.160086985613918
MB0502,LOWER_LIMB_L,JOY,SUMMARY,0.106941251462082
MB0502,LOWER_LIMB_R,JOY,SUMMARY,0.104898297421545
MB0502,WRIST_L,JOY,SUMMARY,0.18417530946805
MB0502,WRIST_R,JOY,SUMMARY,0.19220475075276
MB0502,LTORSO,JOY,SUMMARY,0.13591621411996
MJ1800,UTORSO,JOY,SUMMARY,0.208014566957832
