medianA,medianB,deltaMedian_AminusB,pairLabel,deltaMedian_sorted,subjectID,markerGroup,emotionA,emotionB,ksD,nSamplesA,nSamplesB,nVideosA,nVideosB
14.3238297075982,18.9079243086711,-4.58409460107293,DISGUST-NEUTRAL,-4.58409460107293,AB1502,head,NEUTRAL,DISGUST,0.385785529012195,2251,496,1,1
14.3238297075982,15.8014516630002,-1.477621955402,FEAR-NEUTRAL,-1.477621955402,AB1502,head,NEUTRAL,FEAR,0.0943209412762939,2251,2999,1,1
14.3238297075982,15.7172825715324,-1.3934528639342,JOY-NEUTRAL,-1.3934528639342,AB1502,head,NEUTRAL,JOY,0.085737766504245,2251,3032,1,1
14.3238297075982,19.0141871674853,-4.69035745988712,NEUTRAL-SAD,4.69035745988712,AB1502,head,NEUTRAL,SAD,0.29884238777256,2251,484,1,1
18.9079243086711,15.8014516630002,3.10647264567092,DISGUST-FEAR,-3.10647264567092,AB1502,head,DISGUST,FEAR,0.309915133001323,496,2999,1,1
18.9079243086711,15.7172825715324,3.19064173713873,DISGUST-JOY,-3.19064173713873,AB1502,head,DISGUST,JOY,0.33293259000766,496,3032,1,1
18.9079243086711,19.0141871674853,-0.106262858814191,DISGUST-SAD,0.106262858814191,AB1502,head,DISGUST,SAD,0.114719408157825,496,484,1,1
15.8014516630002,15.7172825715324,0.084169091467805,FEAR-JOY,-0.084169091467805,AB1502,head,FEAR,JOY,0.0754025528298351,2999,3032,1,1
15.8014516630002,19.0141871674853,-3.21273550448512,FEAR-SAD,3.21273550448512,AB1502,head,FEAR,SAD,0.222122939051309,2999,484,1,1
15.7172825715324,19.0141871674853,-3.29690459595292,JOY-SAD,3.29690459595292,AB1502,head,JOY,SAD,0.235646219935018,3032,484,1,1
12.9907890123766,19.4939810488839,-6.50319203650727,DISGUST-NEUTRAL,-6.50319203650727,AB1502,uppertorso,NEUTRAL,DISGUST,0.329650333867515,5587,2533,1,1
12.9907890123766,16.6391747062672,-3.64838569389054,FEAR-NEUTRAL,-3.64838569389054,AB1502,uppertorso,NEUTRAL,FEAR,0.164338583474337,5587,8380,1,1
12.9907890123766,13.5880262093389,-0.597237196962203,JOY-NEUTRAL,-0.597237196962203,AB1502,uppertorso,NEUTRAL,JOY,0.0547667087196179,5587,9403,1,1
12.9907890123766,17.1638516663562,-4.17306265397956,NEUTRAL-SAD,4.17306265397956,AB1502,uppertorso,NEUTRAL,SAD,0.272643680011051,5587,3247,1,1
19.4939810488839,16.6391747062672,2.85480634261673,DISGUST-FEAR,-2.85480634261673,AB1502,uppertorso,DISGUST,FEAR,0.186069185086218,2533,8380,1,1
19.4939810488839,13.5880262093389,5.90595483954507,DISGUST-JOY,-5.90595483954507,AB1502,uppertorso,DISGUST,JOY,0.332303039420225,2533,9403,1,1
19.4939810488839,17.1638516663562,2.3301293825277,DISGUST-SAD,-2.3301293825277,AB1502,uppertorso,DISGUST,SAD,0.154008966459489,2533,3247,1,1
16.6391747062672,13.5880262093389,3.05114849692833,FEAR-JOY,-3.05114849692833,AB1502,uppertorso,FEAR,JOY,0.166930589105138,8380,9403,1,1
16.6391747062672,17.1638516663562,-0.524676960089028,FEAR-SAD,0.524676960089028,AB1502,uppertorso,FEAR,SAD,0.149350272291,8380,3247,1,1
13.5880262093389,17.1638516663562,-3.57582545701736,JOY-SAD,3.57582545701736,AB1502,uppertorso,JOY,SAD,0.242891998147096,9403,3247,1,1
13.3521662170972,18.637784053585,-5.28561783648783,DISGUST-NEUTRAL,-5.28561783648783,AB1502,L-arm,NEUTRAL,DISGUST,0.319783074140126,6509,2299,1,1
13.3521662170972,17.9812041481457,-4.62903793104849,FEAR-NEUTRAL,-4.62903793104849,AB1502,L-arm,NEUTRAL,FEAR,0.242635015850263,6509,7298,1,1
13.3521662170972,14.5877398032313,-1.23557358613415,JOY-NEUTRAL,-1.23557358613415,AB1502,L-arm,NEUTRAL,JOY,0.0826690513023662,6509,9671,1,1
13.3521662170972,18.7210751037619,-5.36890888666476,NEUTRAL-SAD,5.36890888666476,AB1502,L-arm,NEUTRAL,SAD,0.327995463989351,6509,2812,1,1
18.637784053585,17.9812041481457,0.656579905439333,DISGUST-FEAR,-0.656579905439333,AB1502,L-arm,DISGUST,FEAR,0.101822661466714,2299,7298,1,1
18.637784053585,14.5877398032313,4.05004425035368,DISGUST-JOY,-4.05004425035368,AB1502,L-arm,DISGUST,JOY,0.255517261711977,2299,9671,1,1
18.637784053585,18.7210751037619,-0.0832910501769284,DISGUST-SAD,0.0832910501769284,AB1502,L-arm,DISGUST,SAD,0.0478204389687643,2299,2812,1,1
17.9812041481457,14.5877398032313,3.39346434491435,FEAR-JOY,-3.39346434491435,AB1502,L-arm,FEAR,JOY,0.166476260530794,7298,9671,1,1
17.9812041481457,18.7210751037619,-0.739870955616261,FEAR-SAD,0.739870955616261,AB1502,L-arm,FEAR,SAD,0.109125846360994,7298,2812,1,1
14.5877398032313,18.7210751037619,-4.13333530053061,JOY-SAD,4.13333530053061,AB1502,L-arm,JOY,SAD,0.263573598414876,9671,2812,1,1
15.2256728965666,18.7633512799903,-3.53767838342372,DISGUST-NEUTRAL,-3.53767838342372,AB1502,R-arm,NEUTRAL,DISGUST,0.198297328851596,6469,1701,1,1
15.2256728965666,16.8975803852382,-1.67190748867153,FEAR-NEUTRAL,-1.67190748867153,AB1502,R-arm,NEUTRAL,FEAR,0.092277866220373,6469,9379,1,1
15.2256728965666,14.2198624156888,1.00581048087787,JOY-NEUTRAL,1.00581048087787,AB1502,R-arm,NEUTRAL,JOY,0.0716579832249666,6469,10740,1,1
15.2256728965666,17.5408027527306,-2.31512985616394,NEUTRAL-SAD,2.31512985616394,AB1502,R-arm,NEUTRAL,SAD,0.177185614204858,6469,3523,1,1
18.7633512799903,16.8975803852382,1.86577089475219,DISGUST-FEAR,-1.86577089475219,AB1502,R-arm,DISGUST,FEAR,0.116027155867935,1701,9379,1,1
18.7633512799903,14.2198624156888,4.54348886430159,DISGUST-JOY,-4.54348886430159,AB1502,R-arm,DISGUST,JOY,0.240607398211371,1701,10740,1,1
