normalization,markerGroup,pairLabel,deltaFull,deltaMicro,signFlip
absolute,UTORSO,NEUTRAL-DISGUST,-18.8271501851899,1.70376590064733,1
absolute,UTORSO,NEUTRAL-JOY,-12.2096441082883,0.964012618279561,1
absolute,UTORSO,NEUTRAL-SAD,-14.8983802430226,0.0321152736833241,1
absolute,UTORSO,DISGUST-JOY,6.61750607690159,-0.739753282367765,1
absolute,UTORSO,DISGUST-SAD,3.92876994216726,-1.671650626964,1
absolute,UTORSO,JOY-SAD,-2.68873613473433,-0.931897344596237,0
absolute,HEAD,NEUTRAL-DISGUST,-9.64258128771458,1.42925903884295,1
absolute,HEAD,NEUTRAL-JOY,-4.53422203235432,0.418724695079643,1
absolute,HEAD,NEUTRAL-SAD,-14.2850031548324,0.0879782671139573,1
absolute,HEAD,DISGUST-JOY,5.10835925536026,-1.01053434376331,1
absolute,HEAD,DISGUST-SAD,-4.64242186711778,-1.341280771729,0
absolute,HEAD,JOY-SAD,-9.75078112247803,-0.330746427965686,0
absolute,UPPER_LIMB_L,NEUTRAL-DISGUST,-24.5051814252104,1.73373944142275,1
absolute,UPPER_LIMB_L,NEUTRAL-JOY,-16.5616752830131,1.52433410122083,1
absolute,UPPER_LIMB_L,NEUTRAL-SAD,-19.9210455118595,0.00114845323561497,1
absolute,UPPER_LIMB_L,DISGUST-JOY,7.94350614219731,-0.209405340201918,1
absolute,UPPER_LIMB_L,DISGUST-SAD,4.58413591335095,-1.73259098818713,1
absolute,UPPER_LIMB_L,JOY-SAD,-3.35937022884636,-1.52318564798521,0
absolute,UPPER_LIMB_R,NEUTRAL-DISGUST,-25.3775423148761,1.43790978149793,1
absolute,UPPER_LIMB_R,NEUTRAL-JOY,-15.3064632760067,0.316552549644225,1
absolute,UPPER_LIMB_R,NEUTRAL-SAD,-21.2098491108284,0.0904349352563223,1
absolute,UPPER_LIMB_R,DISGUST-JOY,10.0710790388694,-1.1213572318537,1
absolute,UPPER_LIMB_R,DISGUST-SAD,4.16769320404768,-1.34747484624161,1
absolute,UPPER_LIMB_R,JOY-SAD,-5.90338583482175,-0.226117614387903,0
absolute,LOWER_LIMB_L,NEUTRAL-DISGUST,-6.73867113943796,-0.297099243644176,0
absolute,LOWER_LIMB_L,NEUTRAL-JOY,-3.97887488793154,-0.026802673634398,0
absolute,LOWER_LIMB_L,NEUTRAL-SAD,-4.50200986671982,-0.679700453742055,0
absolute,LOWER_LIMB_L,DISGUST-JOY,2.75979625150643,0.270296570009778,0
absolute,LOWER_LIMB_L,DISGUST-SAD,2.23666127271814,-0.382601210097879,1
absolute,LOWER_LIMB_L,JOY-SAD,-0.523134978788288,-0.652897780107657,0
absolute,LOWER_LIMB_R,NEUTRAL-DISGUST,-4.52239020723444,-0.479868848811981,0
absolute,LOWER_LIMB_R,NEUTRAL-JOY,-2.31079282536235,-0.137572810815751,0
absolute,LOWER_LIMB_R,NEUTRAL-SAD,-3.18349280580443,-0.438253624508278,0
absolute,LOWER_LIMB_R,DISGUST-JOY,2.21159738187209,0.34229603799623,0
absolute,LOWER_LIMB_R,DISGUST-SAD,1.33889740143001,0.0416152243037038,0
absolute,LOWER_LIMB_R,JOY-SAD,-0.872699980442082,-0.300680813692527,0
absolute,WRIST_L,NEUTRAL-DISGUST,-27.380160067242,1.42032346872774,1
absolute,WRIST_L,NEUTRAL-JOY,-18.8730485955656,0.840950126048586,1
