normalization,markerGroup,emotion,regime,nSamples,medianValue
absolute,UTORSO,NEUTRAL,full,878822,65.6232332849727
absolute,UTORSO,NEUTRAL,micro,275709,17.2252101639398
absolute,UTORSO,DISGUST,full,879155,46.7960830997828
absolute,UTORSO,DISGUST,micro,340503,18.9289760645871
absolute,UTORSO,JOY,full,876415,53.4135891766844
absolute,UTORSO,JOY,micro,306711,18.1892227822194
absolute,UTORSO,SAD,full,878743,50.7248530419501
absolute,UTORSO,SAD,micro,330941,17.2573254376231
absolute,HEAD,NEUTRAL,full,394117,78.4438058674942
absolute,HEAD,NEUTRAL,micro,101483,19.0089480799345
absolute,HEAD,DISGUST,full,399627,68.8012245797796
absolute,HEAD,DISGUST,micro,106058,20.4382071187775
absolute,HEAD,JOY,full,399492,73.9095838351398
absolute,HEAD,JOY,micro,100370,19.4276727750141
absolute,HEAD,SAD,full,393687,64.1588027126618
absolute,HEAD,SAD,micro,119151,19.0969263470485
absolute,UPPER_LIMB_L,NEUTRAL,full,399492,87.5792724924312
absolute,UPPER_LIMB_L,NEUTRAL,micro,97667,17.2844367599537
absolute,UPPER_LIMB_L,DISGUST,full,399937,63.0740910672208
absolute,UPPER_LIMB_L,DISGUST,micro,121360,19.0181762013764
absolute,UPPER_LIMB_L,JOY,full,399492,71.0175972094181
absolute,UPPER_LIMB_L,JOY,micro,108750,18.8087708611745
absolute,UPPER_LIMB_L,SAD,full,399492,67.6582269805718
absolute,UPPER_LIMB_L,SAD,micro,119723,17.2855852131893
absolute,UPPER_LIMB_R,NEUTRAL,full,399492,83.659495748298
absolute,UPPER_LIMB_R,NEUTRAL,micro,102408,17.4468165155799
absolute,UPPER_LIMB_R,DISGUST,full,399937,58.2819534334219
absolute,UPPER_LIMB_R,DISGUST,micro,128093,18.8847262970778
absolute,UPPER_LIMB_R,JOY,full,399455,68.3530324722914
absolute,UPPER_LIMB_R,JOY,micro,113357,17.7633690652241
absolute,UPPER_LIMB_R,SAD,full,399492,62.4496466374696
absolute,UPPER_LIMB_R,SAD,micro,127797,17.5372514508362
absolute,LOWER_LIMB_L,NEUTRAL,full,958040,21.82137240647
absolute,LOWER_LIMB_L,NEUTRAL,micro,566396,7.53621092474345
absolute,LOWER_LIMB_L,DISGUST,full,959257,15.082701267032
absolute,LOWER_LIMB_L,DISGUST,micro,665826,7.23911168109927
absolute,LOWER_LIMB_L,JOY,full,958220,17.8424975185384
absolute,LOWER_LIMB_L,JOY,micro,620316,7.50940825110905
absolute,LOWER_LIMB_L,SAD,full,958281,17.3193625397501
absolute,LOWER_LIMB_L,SAD,micro,618315,6.85651047100139
absolute,LOWER_LIMB_R,NEUTRAL,full,955709,13.2385241097146
absolute,LOWER_LIMB_R,NEUTRAL,micro,638038,5.22180536697146
absolute,LOWER_LIMB_R,DISGUST,full,955157,8.71613390248012
absolute,LOWER_LIMB_R,DISGUST,micro,736692,4.74193651815948
absolute,LOWER_LIMB_R,JOY,full,954658,10.9277312843522
absolute,LOWER_LIMB_R,JOY,micro,686067,5.08423255615571
absolute,LOWER_LIMB_R,SAD,full,955218,10.0550313039101
absolute,LOWER_LIMB_R,SAD,micro,689146,4.78355174246318
absolute,WRIST_L,NEUTRAL,full,79893,99.0848736676002
absolute,WRIST_L,NEUTRAL,micro,17795,17.5848044543713
absolute,WRIST_L,DISGUST,full,79982,71.7047136003582
absolute,WRIST_L,DISGUST,micro,22228,19.005127923099
absolute,WRIST_L,JOY,full,79893,80.2118250720346
