normalization,markerGroup,spearmanRho,nSignFlip,nComparablePairs,signFlipFraction
absolute,UTORSO,-0.8,5,6,0.833333333333333
absolute,HEAD,-0.4,4,6,0.666666666666667
absolute,UPPER_LIMB_L,-0.8,5,6,0.833333333333333
absolute,UPPER_LIMB_R,-0.8,5,6,0.833333333333333
absolute,LOWER_LIMB_L,0.8,1,6,0.166666666666667
absolute,LOWER_LIMB_R,1,0,6,0
absolute,WRIST_L,-0.4,4,6,0.666666666666667
absolute,WRIST_R,-0.8,5,6,0.833333333333333
absolute,LTORSO,-0.8,5,6,0.833333333333333
baseline-normalized,UTORSO,-0.8,5,6,0.833333333333333
baseline-normalized,HEAD,-0.6,4,6,0.666666666666667
baseline-normalized,UPPER_LIMB_L,-0.8,5,6,0.833333333333333
baseline-normalized,UPPER_LIMB_R,-0.8,5,6,0.833333333333333
baseline-normalized,LOWER_LIMB_L,0.8,1,6,0.166666666666667
baseline-normalized,LOWER_LIMB_R,0.8,1,6,0.166666666666667
baseline-normalized,WRIST_L,-0.8,5,6,0.833333333333333
baseline-normalized,WRIST_R,-0.8,5,6,0.833333333333333
baseline-normalized,LTORSO,-0.8,5,6,0.833333333333333
