normalization,subjectID,markerGroup,pairLabel,comparable,deltaFull,deltaMicro,signFlip
absolute,HH2603,UTORSO,NEUTRAL-DISGUST,1,-1.98263833272578,5.43589328629705,1
absolute,HH2603,UTORSO,NEUTRAL-FEAR,1,18.958246685091,-0.604099754524277,1
absolute,HH2603,UTORSO,NEUTRAL-JOY,1,1.43757606626549,1.53761628950753,0
absolute,HH2603,UTORSO,NEUTRAL-SAD,1,17.9260913719514,4.40187787452471,0
absolute,HH2603,UTORSO,DISGUST-FEAR,1,20.9408850178168,-6.03999304082133,1
absolute,HH2603,UTORSO,DISGUST-JOY,1,3.42021439899128,-3.89827699678952,1
absolute,HH2603,UTORSO,DISGUST-SAD,1,19.9087297046772,-1.03401541177234,1
absolute,HH2603,UTORSO,FEAR-JOY,1,-17.5206706188255,2.14171604403181,1
absolute,HH2603,UTORSO,FEAR-SAD,1,-1.0321553131396,5.00597762904899,1
absolute,HH2603,UTORSO,JOY-SAD,1,16.4885153056859,2.86426158501718,0
absolute,HH2603,HEAD,NEUTRAL-DISGUST,1,11.9432292155273,1.31336763945193,0
absolute,HH2603,HEAD,NEUTRAL-FEAR,1,-3.41407858899282,0.71486193631938,1
absolute,HH2603,HEAD,NEUTRAL-JOY,1,1.12372839904259,-2.28997897973478,1
absolute,HH2603,HEAD,NEUTRAL-SAD,1,8.35988744540174,0.804337171203038,0
absolute,HH2603,HEAD,DISGUST-FEAR,1,-15.3573078045202,-0.598505703132545,0
absolute,HH2603,HEAD,DISGUST-JOY,1,-10.8195008164847,-3.6033466191867,0
absolute,HH2603,HEAD,DISGUST-SAD,1,-3.5833417701256,-0.509030468248888,0
absolute,HH2603,HEAD,FEAR-JOY,1,4.53780698803541,-3.00484091605416,1
absolute,HH2603,HEAD,FEAR-SAD,1,11.7739660343946,0.0894752348836576,0
absolute,HH2603,HEAD,JOY-SAD,1,7.23615904635915,3.09431615093781,0
absolute,HH2603,UPPER_LIMB_L,NEUTRAL-DISGUST,1,-1.94206547074872,6.13560176999571,1
absolute,HH2603,UPPER_LIMB_L,NEUTRAL-FEAR,1,25.8012965478037,0.264476512426775,0
absolute,HH2603,UPPER_LIMB_L,NEUTRAL-JOY,1,22.9647990326743,2.609179639901,0
absolute,HH2603,UPPER_LIMB_L,NEUTRAL-SAD,1,30.5899301704359,3.90849183133354,0
absolute,HH2603,UPPER_LIMB_L,DISGUST-FEAR,1,27.7433620185524,-5.87112525756893,1
absolute,HH2603,UPPER_LIMB_L,DISGUST-JOY,1,24.906864503423,-3.5264221300947,1
absolute,HH2603,UPPER_LIMB_L,DISGUST-SAD,1,32.5319956411846,-2.22710993866217,1
absolute,HH2603,UPPER_LIMB_L,FEAR-JOY,1,-2.83649751512938,2.34470312747423,1
absolute,HH2603,UPPER_LIMB_L,FEAR-SAD,1,4.78863362263218,3.64401531890676,0
absolute,HH2603,UPPER_LIMB_L,JOY-SAD,1,7.62513113776156,1.29931219143253,0
absolute,HH2603,UPPER_LIMB_R,NEUTRAL-DISGUST,1,-2.54193143714001,4.58393530974605,1
absolute,HH2603,UPPER_LIMB_R,NEUTRAL-FEAR,1,22.2698561831302,-1.05482862257896,1
absolute,HH2603,UPPER_LIMB_R,NEUTRAL-JOY,1,2.16224496239502,1.09106536357759,0
absolute,HH2603,UPPER_LIMB_R,NEUTRAL-SAD,1,33.1063302437829,3.8336134323436,0
absolute,HH2603,UPPER_LIMB_R,DISGUST-FEAR,1,24.8117876202702,-5.63876393232501,1
absolute,HH2603,UPPER_LIMB_R,DISGUST-JOY,1,4.70417639953503,-3.49286994616846,1
absolute,HH2603,UPPER_LIMB_R,DISGUST-SAD,1,35.6482616809229,-0.750321877402449,1
absolute,HH2603,UPPER_LIMB_R,FEAR-JOY,1,-20.1076112207352,2.14589398615655,1
absolute,HH2603,UPPER_LIMB_R,FEAR-SAD,1,10.8364740606527,4.88844205492256,0
absolute,HH2603,UPPER_LIMB_R,JOY-SAD,1,30.9440852813879,2.74254806876601,0
absolute,HH2603,LOWER_LIMB_L,NEUTRAL-DISGUST,1,-1.1055758279471,3.03129593546346,1
absolute,HH2603,LOWER_LIMB_L,NEUTRAL-FEAR,1,8.91174387734072,1.21416984379845,0
absolute,HH2603,LOWER_LIMB_L,NEUTRAL-JOY,1,-0.391954051205445,0.942989759704833,1
absolute,HH2603,LOWER_LIMB_L,NEUTRAL-SAD,1,9.90530602863249,3.14152722906015,0
absolute,HH2603,LOWER_LIMB_L,DISGUST-FEAR,1,10.0173197052878,-1.81712609166502,1
absolute,HH2603,LOWER_LIMB_L,DISGUST-JOY,1,0.71362177674165,-2.08830617575863,1
