normalization,subjectID,markerGroup,nValidEmotions,spearmanRho
absolute,HH2603,UTORSO,5,-0.6
absolute,HH2603,HEAD,5,0.6
absolute,HH2603,UPPER_LIMB_L,5,-0.1
absolute,HH2603,UPPER_LIMB_R,5,-0.3
absolute,HH2603,LOWER_LIMB_L,5,0.3
absolute,HH2603,LOWER_LIMB_R,5,0.3
absolute,HH2603,WRIST_L,5,-0.5
absolute,HH2603,WRIST_R,5,0.1
absolute,HH2603,LTORSO,5,0.3
absolute,KN9309,UTORSO,5,-0.1
absolute,KN9309,HEAD,5,-0.1
absolute,KN9309,UPPER_LIMB_L,5,0.7
absolute,KN9309,UPPER_LIMB_R,5,0.2
absolute,KN9309,LOWER_LIMB_L,5,-0.1
absolute,KN9309,LOWER_LIMB_R,5,0.1
absolute,KN9309,WRIST_L,5,0.6
absolute,KN9309,WRIST_R,5,0.5
absolute,KN9309,LTORSO,5,-0.3
absolute,XJ1505,UTORSO,5,0.4
absolute,XJ1505,HEAD,5,0.4
absolute,XJ1505,UPPER_LIMB_L,5,0.9
absolute,XJ1505,UPPER_LIMB_R,5,0.4
absolute,XJ1505,LOWER_LIMB_L,5,0.7
absolute,XJ1505,LOWER_LIMB_R,5,0.6
absolute,XJ1505,WRIST_L,5,0.7
absolute,XJ1505,WRIST_R,5,0.9
absolute,XJ1505,LTORSO,5,0.7
absolute,AC1602,UTORSO,5,0.6
absolute,AC1602,HEAD,5,0.6
absolute,AC1602,UPPER_LIMB_L,5,0.7
absolute,AC1602,UPPER_LIMB_R,5,0.7
absolute,AC1602,LOWER_LIMB_L,5,0.6
absolute,AC1602,LOWER_LIMB_R,5,0.6
absolute,AC1602,WRIST_L,5,0.9
absolute,AC1602,WRIST_R,5,0.6
absolute,AC1602,LTORSO,5,0.7
absolute,AK1703,UTORSO,5,0.9
absolute,AK1703,HEAD,5,0.7
absolute,AK1703,UPPER_LIMB_L,5,0.9
absolute,AK1703,UPPER_LIMB_R,5,0.6
absolute,AK1703,LOWER_LIMB_L,5,0.9
absolute,AK1703,LOWER_LIMB_R,5,0.9
absolute,AK1703,WRIST_L,5,0.7
absolute,AK1703,WRIST_R,5,-0.1
absolute,AK1703,LTORSO,5,0.8
absolute,AU1001,UTORSO,5,0.4
absolute,AU1001,HEAD,5,0.4
absolute,AU1001,UPPER_LIMB_L,5,0.7
absolute,AU1001,UPPER_LIMB_R,5,0.5
absolute,AU1001,LOWER_LIMB_L,5,0.4
absolute,AU1001,LOWER_LIMB_R,5,1
absolute,AU1001,WRIST_L,5,0.9
absolute,AU1001,WRIST_R,5,0.7
absolute,AU1001,LTORSO,5,0.7
absolute,IJ1701,UTORSO,5,0.9
absolute,IJ1701,HEAD,5,0.7
absolute,IJ1701,UPPER_LIMB_L,5,0.6
absolute,IJ1701,UPPER_LIMB_R,5,0.7
absolute,IJ1701,LOWER_LIMB_L,5,0.7
absolute,IJ1701,LOWER_LIMB_R,5,0.9
absolute,IJ1701,WRIST_L,5,0.6
absolute,IJ1701,WRIST_R,5,0.9
absolute,IJ1701,LTORSO,5,0.7
absolute,LE2202,UTORSO,5,0.6
absolute,LE2202,HEAD,5,0.8
absolute,LE2202,UPPER_LIMB_L,5,0.7
absolute,LE2202,UPPER_LIMB_R,5,0.4
absolute,LE2202,LOWER_LIMB_L,5,0.7
absolute,LE2202,LOWER_LIMB_R,5,0.9
absolute,LE2202,WRIST_L,5,0.5
absolute,LE2202,WRIST_R,5,0.7
absolute,LE2202,LTORSO,5,0.4
absolute,MB0502,UTORSO,5,0.9
absolute,MB0502,HEAD,5,-0.3
absolute,MB0502,UPPER_LIMB_L,5,0.9
absolute,MB0502,UPPER_LIMB_R,5,0.9
absolute,MB0502,LOWER_LIMB_L,5,0.9
absolute,MB0502,LOWER_LIMB_R,5,0.9
absolute,MB0502,WRIST_L,5,0.8
absolute,MB0502,WRIST_R,5,0.8
absolute,MB0502,LTORSO,5,0.9
absolute,MJ1800,UTORSO,5,0.9
absolute,MJ1800,HEAD,5,0.9
absolute,MJ1800,UPPER_LIMB_L,5,0.7
absolute,MJ1800,UPPER_LIMB_R,5,0.9
absolute,MJ1800,LOWER_LIMB_L,5,0.9
absolute,MJ1800,LOWER_LIMB_R,5,1
absolute,MJ1800,WRIST_L,5,0.9
absolute,MJ1800,WRIST_R,5,0.9
absolute,MJ1800,LTORSO,5,0.7
absolute,MS2002,UTORSO,5,0.7
absolute,MS2002,HEAD,5,0.7
absolute,MS2002,UPPER_LIMB_L,5,0.6
absolute,MS2002,UPPER_LIMB_R,5,0.9
absolute,MS2002,LOWER_LIMB_L,5,0.9
