normalization,markerGroup,medianSubjectRho,fractionNegativeRho,medianPairFlipFraction,maxPairFlipFraction
absolute,UTORSO,0.8,0.0740740740740741,0.203703703703704,0.333333333333333
absolute,HEAD,0.7,0.0740740740740741,0.203703703703704,0.296296296296296
absolute,UPPER_LIMB_L,0.7,0.037037037037037,0.222222222222222,0.333333333333333
absolute,UPPER_LIMB_R,0.7,0.037037037037037,0.222222222222222,0.333333333333333
absolute,LOWER_LIMB_L,0.9,0.037037037037037,0.111111111111111,0.333333333333333
absolute,LOWER_LIMB_R,0.9,0,0.148148148148148,0.296296296296296
absolute,WRIST_L,0.7,0.037037037037037,0.259259259259259,0.37037037037037
absolute,WRIST_R,0.8,0.037037037037037,0.203703703703704,0.296296296296296
absolute,LTORSO,0.8,0.037037037037037,0.185185185185185,0.296296296296296
baseline-normalized,UTORSO,0.8,0.0740740740740741,0.203703703703704,0.333333333333333
baseline-normalized,HEAD,0.7,0.0740740740740741,0.203703703703704,0.296296296296296
baseline-normalized,UPPER_LIMB_L,0.7,0.037037037037037,0.222222222222222,0.333333333333333
baseline-normalized,UPPER_LIMB_R,0.7,0.037037037037037,0.222222222222222,0.333333333333333
baseline-normalized,LOWER_LIMB_L,0.9,0.037037037037037,0.111111111111111,0.333333333333333
baseline-normalized,LOWER_LIMB_R,0.9,0,0.148148148148148,0.296296296296296
baseline-normalized,WRIST_L,0.7,0.037037037037037,0.259259259259259,0.37037037037037
baseline-normalized,WRIST_R,0.8,0.037037037037037,0.203703703703704,0.296296296296296
baseline-normalized,LTORSO,0.8,0.037037037037037,0.185185185185185,0.296296296296296
