normalization,subjectID,markerGroup,emotion,fullMedian,microMedian
absolute,HH2603,UTORSO,NEUTRAL,72.4393637120254,19.8548874681616
absolute,HH2603,UTORSO,DISGUST,70.4567253792996,25.2907807544586
absolute,HH2603,UTORSO,FEAR,91.3976103971164,19.2507877136373
absolute,HH2603,UTORSO,JOY,73.8769397782908,21.3925037576691
absolute,HH2603,UTORSO,SAD,90.3654550839768,24.2567653426863
absolute,HH2603,HEAD,NEUTRAL,100.5751825132,24.2348768853137
absolute,HH2603,HEAD,DISGUST,112.518411728727,25.5482445247656
absolute,HH2603,HEAD,FEAR,97.1611039242069,24.949738821633
absolute,HH2603,HEAD,JOY,101.698910912242,21.9448979055789
absolute,HH2603,HEAD,SAD,108.935069958602,25.0392140565167
absolute,HH2603,UPPER_LIMB_L,NEUTRAL,80.1108380945998,20.5226867082842
absolute,HH2603,UPPER_LIMB_L,DISGUST,78.168772623851,26.6582884782799
absolute,HH2603,UPPER_LIMB_L,FEAR,105.912134642403,20.787163220711
absolute,HH2603,UPPER_LIMB_L,JOY,103.075637127274,23.1318663481852
absolute,HH2603,UPPER_LIMB_L,SAD,110.700768265036,24.4311785396177
absolute,HH2603,UPPER_LIMB_R,NEUTRAL,85.3569576950932,20.7732017738876
absolute,HH2603,UPPER_LIMB_R,DISGUST,82.8150262579531,25.3571370836336
absolute,HH2603,UPPER_LIMB_R,FEAR,107.626813878223,19.7183731513086
absolute,HH2603,UPPER_LIMB_R,JOY,87.5192026574882,21.8642671374652
absolute,HH2603,UPPER_LIMB_R,SAD,118.463287938876,24.6068152062312
absolute,HH2603,LOWER_LIMB_L,NEUTRAL,33.0734844986449,12.8196997491313
absolute,HH2603,LOWER_LIMB_L,DISGUST,31.9679086706978,15.8509956845948
absolute,HH2603,LOWER_LIMB_L,FEAR,41.9852283759856,14.0338695929298
absolute,HH2603,LOWER_LIMB_L,JOY,32.6815304474394,13.7626895088362
absolute,HH2603,LOWER_LIMB_L,SAD,42.9787905272774,15.9612269781915
absolute,HH2603,LOWER_LIMB_R,NEUTRAL,24.2098013091882,9.14350021953467
absolute,HH2603,LOWER_LIMB_R,DISGUST,20.459416616211,12.0885962627805
absolute,HH2603,LOWER_LIMB_R,FEAR,30.1878783052879,11.5564933877576
absolute,HH2603,LOWER_LIMB_R,JOY,21.53494453094,10.5768055097975
absolute,HH2603,LOWER_LIMB_R,SAD,32.5647167413328,13.0247051927067
absolute,HH2603,WRIST_L,NEUTRAL,98.9458255342937,21.9388275829624
absolute,HH2603,WRIST_L,DISGUST,85.0365469194807,24.6182871395256
absolute,HH2603,WRIST_L,FEAR,122.300345793653,20.4964170538245
absolute,HH2603,WRIST_L,JOY,122.015695104597,24.3640126954428
absolute,HH2603,WRIST_L,SAD,130.734567001811,23.5594096905345
absolute,HH2603,WRIST_R,NEUTRAL,88.6687137831185,19.1850277170442
absolute,HH2603,WRIST_R,DISGUST,87.1039011736667,25.9874192319413
absolute,HH2603,WRIST_R,FEAR,121.327595442165,17.8604209778016
absolute,HH2603,WRIST_R,JOY,102.024033761399,22.5712631082759
absolute,HH2603,WRIST_R,SAD,140.092385961459,27.255098538901
absolute,HH2603,LTORSO,NEUTRAL,85.5493926662022,17.8714558075037
absolute,HH2603,LTORSO,DISGUST,86.1682395052188,26.4575669414261
absolute,HH2603,LTORSO,FEAR,107.32853581048,21.03191951588
absolute,HH2603,LTORSO,JOY,80.9675055972106,22.6219700058198
absolute,HH2603,LTORSO,SAD,121.436188149846,24.7646831969569
absolute,KN9309,UTORSO,NEUTRAL,96.6791159402802,18.5696971820038
absolute,KN9309,UTORSO,DISGUST,63.15900055649,20.4788369487878
absolute,KN9309,UTORSO,FEAR,32.6022000002083,12.3648603077546
absolute,KN9309,UTORSO,JOY,82.3149036700798,23.7395923291151
absolute,KN9309,UTORSO,SAD,90.9346354097869,10.0951216962572
absolute,KN9309,HEAD,NEUTRAL,119.095742868879,19.4388699105593
absolute,KN9309,HEAD,DISGUST,74.9889351852859,20.113327696636
absolute,KN9309,HEAD,FEAR,40.713298259421,15.8455764315286
absolute,KN9309,HEAD,JOY,94.4947754111515,24.7156966689299
absolute,KN9309,HEAD,SAD,109.703256215682,13.471809226928
absolute,KN9309,UPPER_LIMB_L,NEUTRAL,110.476228781258,23.7607596433962
absolute,KN9309,UPPER_LIMB_L,DISGUST,78.7717289190408,22.4033570396623
absolute,KN9309,UPPER_LIMB_L,FEAR,40.583640363591,11.5259701262061
absolute,KN9309,UPPER_LIMB_L,JOY,112.463703736946,26.3458887155981
absolute,KN9309,UPPER_LIMB_L,SAD,98.1735855275834,10.7322320858805
absolute,KN9309,UPPER_LIMB_R,NEUTRAL,106.947580083733,20.1722084314497
absolute,KN9309,UPPER_LIMB_R,DISGUST,65.2009915959125,19.8867096738365
absolute,KN9309,UPPER_LIMB_R,FEAR,34.9876109641151,10.8783955479243
absolute,KN9309,UPPER_LIMB_R,JOY,85.0434008159408,24.6369099333001
absolute,KN9309,UPPER_LIMB_R,SAD,97.7211785223018,9.77773639022279
absolute,KN9309,LOWER_LIMB_L,NEUTRAL,41.8348780410476,15.2634981546438
absolute,KN9309,LOWER_LIMB_L,DISGUST,29.5088219724505,14.7087404852708
absolute,KN9309,LOWER_LIMB_L,FEAR,15.8599965198517,6.19333875902036
absolute,KN9309,LOWER_LIMB_L,JOY,38.0838220054353,16.3619310895619
