normalization,markerGroup,pairLabel,pooledDeltaFull,pooledDeltaMicro,pooledFlip,subjectMedianDeltaFull,subjectMedianDeltaMicro,subjectMedianFlip,pooledVsSubjectAgree,subjectFlipFraction,bootstrapFlipProbability,bootstrapQuadrantAgreeProbability,nSubjects
absolute,UTORSO,NEUTRAL-DISGUST,-18.8271501851899,1.70376590064733,1,-9.23771783066746,1.15586178047716,1,1,0.296296296296296,0.5165,0.5075,27
absolute,UTORSO,NEUTRAL-JOY,-12.2096441082883,0.964012618279561,1,-12.433955074546,-0.292686689381682,0,0,0.259259259259259,0.176,0.1265,27
absolute,UTORSO,NEUTRAL-SAD,-14.8983802430226,0.0321152736833241,1,-14.6624938931385,-0.999368726125589,0,0,0.296296296296296,0.1555,0.1555,27
absolute,UTORSO,DISGUST-JOY,6.61750607690159,-0.739753282367765,1,3.42021439899128,-1.2222640386438,1,1,0.111111111111111,0.4095,0.4095,27
absolute,UTORSO,DISGUST-SAD,3.92876994216726,-1.671650626964,1,13.8000485516238,-1.03401541177234,1,1,0.333333333333333,0.835,0.8345,27
absolute,UTORSO,JOY-SAD,-2.68873613473433,-0.931897344596237,0,-1.36819610015896,-0.348859652835721,0,1,0.296296296296296,0.223,0.7215,27
absolute,HEAD,NEUTRAL-DISGUST,-9.64258128771458,1.42925903884295,1,-1.76986701513235,0.800546639940759,1,1,0.222222222222222,0.58,0.5735,27
absolute,HEAD,NEUTRAL-JOY,-4.53422203235432,0.418724695079643,1,-7.8823583916741,0.127591927800253,1,1,0.259259259259259,0.4685,0.4415,27
absolute,HEAD,NEUTRAL-SAD,-14.2850031548324,0.0879782671139573,1,-13.4148533577478,-0.4478035446737,0,0,0.222222222222222,0.16,0.1595,27
absolute,HEAD,DISGUST-JOY,5.10835925536026,-1.01053434376331,1,2.82244691846,-1.86899144873259,1,1,0.185185185185185,0.6425,0.6425,27
absolute,HEAD,DISGUST-SAD,-4.64242186711778,-1.341280771729,0,-3.5833417701256,-1.38485484165634,0,1,0.185185185185185,0.356,0.5685,27
absolute,HEAD,JOY-SAD,-9.75078112247803,-0.330746427965686,0,-5.74985160947884,0.0313627887072556,1,0,0.296296296296296,0.4075,0.3705,27
absolute,UPPER_LIMB_L,NEUTRAL-DISGUST,-24.5051814252104,1.73373944142275,1,-7.8703541160281,0.140248859892164,1,1,0.296296296296296,0.529,0.5185,27
absolute,UPPER_LIMB_L,NEUTRAL-JOY,-16.5616752830131,1.52433410122083,1,-16.1705715311351,-0.320320091487979,0,0,0.222222222222222,0.3145,0.2705,27
absolute,UPPER_LIMB_L,NEUTRAL-SAD,-19.9210455118595,0.00114845323561497,1,-24.8581720673633,-1.53691831195779,0,0,0.259259259259259,0.0365,0.036,27
absolute,UPPER_LIMB_L,DISGUST-JOY,7.94350614219731,-0.209405340201918,1,13.0371003021997,-0.513161442013555,1,1,0.222222222222222,0.387,0.3525,27
absolute,UPPER_LIMB_L,DISGUST-SAD,4.58413591335095,-1.73259098818713,1,19.4018566085426,-1.25321904065144,1,1,0.333333333333333,0.657,0.653,27
absolute,UPPER_LIMB_L,JOY-SAD,-3.35937022884636,-1.52318564798521,0,-0.734807096456422,-0.949358458849371,0,1,0.259259259259259,0.341,0.4725,27
absolute,UPPER_LIMB_R,NEUTRAL-DISGUST,-25.3775423148761,1.43790978149793,1,-18.2739415971836,-0.285498757613226,0,0,0.222222222222222,0.3955,0.3925,27
absolute,UPPER_LIMB_R,NEUTRAL-JOY,-15.3064632760067,0.316552549644225,1,-9.4941665467727,-1.04261656452548,0,0,0.259259259259259,0.246,0.1755,27
absolute,UPPER_LIMB_R,NEUTRAL-SAD,-21.2098491108284,0.0904349352563223,1,-23.6469504124101,-1.47197613079137,0,0,0.333333333333333,0.2785,0.277,27
absolute,UPPER_LIMB_R,DISGUST-JOY,10.0710790388694,-1.1213572318537,1,4.70417639953503,-1.78175455641042,1,1,0.222222222222222,0.569,0.5635,27
absolute,UPPER_LIMB_R,DISGUST-SAD,4.16769320404768,-1.34747484624161,1,10.4870020047205,-1.09464195585091,1,1,0.296296296296296,0.591,0.5745,27
