subjectID,markerGroup,emotionA,emotionB,fearSummary
HH2603,UTORSO,SAD,SUMMARY,0.0857686685484683
HH2603,HEAD,SAD,SUMMARY,0.0787219805955169
HH2603,UPPER_LIMB_L,SAD,SUMMARY,0.121144195383071
HH2603,UPPER_LIMB_R,SAD,SUMMARY,0.140274556030191
HH2603,LOWER_LIMB_L,SAD,SUMMARY,0.0763892232790875
HH2603,LOWER_LIMB_R,SAD,SUMMARY,0.0970942464132016
HH2603,WRIST_L,SAD,SUMMARY,0.167112746738039
HH2603,WRIST_R,SAD,SUMMARY,0.170123787219806
HH2603,LTORSO,SAD,SUMMARY,0.155424474494252
KN9309,UTORSO,SAD,SUMMARY,0.218589373156118
KN9309,HEAD,SAD,SUMMARY,0.221846771495483
KN9309,UPPER_LIMB_L,SAD,SUMMARY,0.238808966209435
KN9309,UPPER_LIMB_R,SAD,SUMMARY,0.218266978922717
KN9309,LOWER_LIMB_L,SAD,SUMMARY,0.142578342812535
KN9309,LOWER_LIMB_R,SAD,SUMMARY,0.118643358982937
KN9309,WRIST_L,SAD,SUMMARY,0.254934760789562
KN9309,WRIST_R,SAD,SUMMARY,0.225660756105721
KN9309,LTORSO,SAD,SUMMARY,0.206059360059114
XJ1505,UTORSO,SAD,SUMMARY,0.144529943124791
XJ1505,HEAD,SAD,SUMMARY,0.136868517898963
XJ1505,UPPER_LIMB_L,SAD,SUMMARY,0.162796922047508
XJ1505,UPPER_LIMB_R,SAD,SUMMARY,0.162027433924389
XJ1505,LOWER_LIMB_L,SAD,SUMMARY,0.111673357867737
XJ1505,LOWER_LIMB_R,SAD,SUMMARY,0.0974127355860377
XJ1505,WRIST_L,SAD,SUMMARY,0.194713951154232
XJ1505,WRIST_R,SAD,SUMMARY,0.186851789896286
XJ1505,LTORSO,SAD,SUMMARY,0.152057544329207
AC1602,UTORSO,SAD,SUMMARY,0.208628607926032
AC1602,HEAD,SAD,SUMMARY,0.164235530277685
AC1602,UPPER_LIMB_L,SAD,SUMMARY,0.232251589160254
AC1602,UPPER_LIMB_R,SAD,SUMMARY,0.242154566744731
AC1602,LOWER_LIMB_L,SAD,SUMMARY,0.116216088766449
AC1602,LOWER_LIMB_R,SAD,SUMMARY,0.0897178543548567
AC1602,WRIST_L,SAD,SUMMARY,0.274171963867514
AC1602,WRIST_R,SAD,SUMMARY,0.251254600200736
AC1602,LTORSO,SAD,SUMMARY,0.221478755436601
AK1703,UTORSO,SAD,SUMMARY,0.153684722771374
AK1703,HEAD,SAD,SUMMARY,0.183640013382402
AK1703,UPPER_LIMB_L,SAD,SUMMARY,0.173469387755102
AK1703,UPPER_LIMB_R,SAD,SUMMARY,0.154299096687855
AK1703,LOWER_LIMB_L,SAD,SUMMARY,0.0771997323519572
AK1703,LOWER_LIMB_R,SAD,SUMMARY,0.0959490353518457
AK1703,WRIST_L,SAD,SUMMARY,0.203412512546002
AK1703,WRIST_R,SAD,SUMMARY,0.176145868183339
AK1703,LTORSO,SAD,SUMMARY,0.0996988959518234
AU1001,UTORSO,SAD,SUMMARY,0.0861720246966149
AU1001,HEAD,SAD,SUMMARY,0.105084864341728
AU1001,UPPER_LIMB_L,SAD,SUMMARY,0.111943793911007
AU1001,UPPER_LIMB_R,SAD,SUMMARY,0.107627969220475
AU1001,LOWER_LIMB_L,SAD,SUMMARY,0.0551217735127915
AU1001,LOWER_LIMB_R,SAD,SUMMARY,0.0744852337358192
AU1001,WRIST_L,SAD,SUMMARY,0.131983941117431
AU1001,WRIST_R,SAD,SUMMARY,0.109066577450652
AU1001,LTORSO,SAD,SUMMARY,0.142974681691271
IJ1701,UTORSO,SAD,SUMMARY,0.168086012348307
IJ1701,HEAD,SAD,SUMMARY,0.136734693877551
IJ1701,UPPER_LIMB_L,SAD,SUMMARY,0.248946135831382
IJ1701,UPPER_LIMB_R,SAD,SUMMARY,0.177383740381398
IJ1701,LOWER_LIMB_L,SAD,SUMMARY,0.0809356529497045
IJ1701,LOWER_LIMB_R,SAD,SUMMARY,0.0798343927735028
IJ1701,WRIST_L,SAD,SUMMARY,0.263967882234861
IJ1701,WRIST_R,SAD,SUMMARY,0.202743392438943
IJ1701,LTORSO,SAD,SUMMARY,0.180415296961523
LE2202,UTORSO,SAD,SUMMARY,0.147160801727546
LE2202,HEAD,SAD,SUMMARY,0.231883573101372
LE2202,UPPER_LIMB_L,SAD,SUMMARY,0.142455670792907
LE2202,UPPER_LIMB_R,SAD,SUMMARY,0.173937771830043
LE2202,LOWER_LIMB_L,SAD,SUMMARY,0.139441489694841
LE2202,LOWER_LIMB_R,SAD,SUMMARY,0.103500143883282
LE2202,WRIST_L,SAD,SUMMARY,0.183004349280696
LE2202,WRIST_R,SAD,SUMMARY,0.173302107728337
LE2202,LTORSO,SAD,SUMMARY,0.19344392482825
MB0502,UTORSO,SAD,SUMMARY,0.190957754189604
MB0502,HEAD,SAD,SUMMARY,0.109166945466711
MB0502,UPPER_LIMB_L,SAD,SUMMARY,0.19434593509535
MB0502,UPPER_LIMB_R,SAD,SUMMARY,0.18350618936099
MB0502,LOWER_LIMB_L,SAD,SUMMARY,0.139527411891109
MB0502,LOWER_LIMB_R,SAD,SUMMARY,0.107749952582756
MB0502,WRIST_L,SAD,SUMMARY,0.212445633991301
MB0502,WRIST_R,SAD,SUMMARY,0.199565071930412
MB0502,LTORSO,SAD,SUMMARY,0.161927065908331
MJ1800,UTORSO,SAD,SUMMARY,0.239565462550386
MJ1800,HEAD,SAD,SUMMARY,0.202315985541032
MJ1800,UPPER_LIMB_L,SAD,SUMMARY,0.265524598200946
MJ1800,UPPER_LIMB_R,SAD,SUMMARY,0.236932564050594
MJ1800,LOWER_LIMB_L,SAD,SUMMARY,0.187402718134523
MJ1800,LOWER_LIMB_R,SAD,SUMMARY,0.160359514922618
MJ1800,WRIST_L,SAD,SUMMARY,0.270903625514171
MJ1800,WRIST_R,SAD,SUMMARY,0.255420226271926
MJ1800,LTORSO,SAD,SUMMARY,0.24648104429687
MS2002,UTORSO,SAD,SUMMARY,0.173789405760046
MS2002,HEAD,SAD,SUMMARY,0.0979615080533845
MS2002,UPPER_LIMB_L,SAD,SUMMARY,0.142809525351936
MS2002,UPPER_LIMB_R,SAD,SUMMARY,0.144932663467129
MS2002,LOWER_LIMB_L,SAD,SUMMARY,0.142639084276097
MS2002,LOWER_LIMB_R,SAD,SUMMARY,0.133785582158347
MS2002,WRIST_L,SAD,SUMMARY,0.188221828918966
MS2002,WRIST_R,SAD,SUMMARY,0.136333221813315
MS2002,LTORSO,SAD,SUMMARY,0.148108371030549
MT2401,UTORSO,SAD,SUMMARY,0.121080324827397
MT2401,HEAD,SAD,SUMMARY,0.0877216460354633
