subjectID,markerGroup,emotionA,emotionB,fearSummary
HH2603,UTORSO,SAD,SUMMARY,0.161414273101345
HH2603,HEAD,SAD,SUMMARY,0.0795408986869667
HH2603,UPPER_LIMB_L,SAD,SUMMARY,0.124108834086033
HH2603,UPPER_LIMB_R,SAD,SUMMARY,0.153031858351587
HH2603,LOWER_LIMB_L,SAD,SUMMARY,0.0433660840445612
HH2603,LOWER_LIMB_R,SAD,SUMMARY,0.0538078590971475
HH2603,WRIST_R,SAD,SUMMARY,0.311021010329955
HH2603,LTORSO,SAD,SUMMARY,0.133264204670413
KN9309,UTORSO,SAD,SUMMARY,0.364820399583083
KN9309,HEAD,SAD,SUMMARY,0.301698341382208
KN9309,UPPER_LIMB_L,SAD,SUMMARY,0.523527110231069
KN9309,UPPER_LIMB_R,SAD,SUMMARY,0.460421916984569
KN9309,LOWER_LIMB_L,SAD,SUMMARY,0.193169095428407
KN9309,LOWER_LIMB_R,SAD,SUMMARY,0.167860196670454
KN9309,WRIST_R,SAD,SUMMARY,0.589723193086123
KN9309,LTORSO,SAD,SUMMARY,0.455631812764435
KN9309,WRIST_L,SAD,SUMMARY,0.599570724763398
XJ1505,UTORSO,SAD,SUMMARY,0.149951165849509
XJ1505,HEAD,SAD,SUMMARY,0.134952565413723
XJ1505,UPPER_LIMB_L,SAD,SUMMARY,0.133293142257432
XJ1505,UPPER_LIMB_R,SAD,SUMMARY,0.147375801097995
XJ1505,LOWER_LIMB_L,SAD,SUMMARY,0.0951297993680815
XJ1505,LOWER_LIMB_R,SAD,SUMMARY,0.0641032542373639
XJ1505,WRIST_R,SAD,SUMMARY,0.244279351196802
XJ1505,LTORSO,SAD,SUMMARY,0.253073979250131
XJ1505,WRIST_L,SAD,SUMMARY,0.149008834302952
AC1602,UTORSO,SAD,SUMMARY,0.264828367572652
AC1602,HEAD,SAD,SUMMARY,0.22026606844819
AC1602,UPPER_LIMB_L,SAD,SUMMARY,0.291372985619465
AC1602,UPPER_LIMB_R,SAD,SUMMARY,0.265704003566862
AC1602,LOWER_LIMB_L,SAD,SUMMARY,0.0921153892235611
AC1602,LOWER_LIMB_R,SAD,SUMMARY,0.0840342377165338
AC1602,WRIST_R,SAD,SUMMARY,0.300988296784582
AC1602,LTORSO,SAD,SUMMARY,0.278939070950164
AC1602,WRIST_L,SAD,SUMMARY,0.324042428981118
AK1703,UTORSO,SAD,SUMMARY,0.181395680386195
AK1703,HEAD,SAD,SUMMARY,0.123273855994845
AK1703,UPPER_LIMB_L,SAD,SUMMARY,0.260041016241234
AK1703,UPPER_LIMB_R,SAD,SUMMARY,0.123394429899254
AK1703,LOWER_LIMB_L,SAD,SUMMARY,0.0899787131109197
AK1703,LOWER_LIMB_R,SAD,SUMMARY,0.0765145495885332
AK1703,WRIST_R,SAD,SUMMARY,0.108298756456415
AK1703,LTORSO,SAD,SUMMARY,0.167195272757619
AK1703,WRIST_L,SAD,SUMMARY,0.343156853860434
AU1001,UTORSO,SAD,SUMMARY,0.10383000458983
AU1001,HEAD,SAD,SUMMARY,0.0719726867685414
AU1001,UPPER_LIMB_L,SAD,SUMMARY,0.131767789209182
AU1001,UPPER_LIMB_R,SAD,SUMMARY,0.136760836239347
AU1001,LOWER_LIMB_L,SAD,SUMMARY,0.0603039905026683
AU1001,LOWER_LIMB_R,SAD,SUMMARY,0.0500360495011468
AU1001,WRIST_R,SAD,SUMMARY,0.217799636076493
AU1001,LTORSO,SAD,SUMMARY,0.135724776353825
AU1001,WRIST_L,SAD,SUMMARY,0.165491804267593
IJ1701,UTORSO,SAD,SUMMARY,0.160052443271794
IJ1701,HEAD,SAD,SUMMARY,0.130146466334847
IJ1701,UPPER_LIMB_L,SAD,SUMMARY,0.214545766236429
IJ1701,UPPER_LIMB_R,SAD,SUMMARY,0.171565430116406
IJ1701,LOWER_LIMB_L,SAD,SUMMARY,0.093463974780016
IJ1701,LOWER_LIMB_R,SAD,SUMMARY,0.107011477618854
IJ1701,WRIST_R,SAD,SUMMARY,0.198232048402624
IJ1701,LTORSO,SAD,SUMMARY,0.210978371019996
IJ1701,WRIST_L,SAD,SUMMARY,0.255487519373987
LE2202,UTORSO,SAD,SUMMARY,0.129880531045304
LE2202,HEAD,SAD,SUMMARY,0.24088787701524
LE2202,UPPER_LIMB_L,SAD,SUMMARY,0.193339641674263
LE2202,UPPER_LIMB_R,SAD,SUMMARY,0.147337512956153
LE2202,LOWER_LIMB_L,SAD,SUMMARY,0.0712994117366583
LE2202,LOWER_LIMB_R,SAD,SUMMARY,0.0694129208900291
