normalization,subjectID,markerGroup,pairLabel,deltaFull,ciFullLow,ciFullHigh,deltaMicro,ciMicroLow,ciMicroHigh,okFull,okMicro,includeCI
absolute,HH2603,UTORSO,NEUTRAL-DISGUST,-0.58855128772467,-0.952144243943504,0.721311542996904,5.6203594202675,5.23498827975006,6.06570525393471,1,1,1
absolute,HH2603,UTORSO,NEUTRAL-JOY,-1.63247658612998,-2.82644320799195,0.0266240018882264,1.510717586839,1.00949676435315,1.99989304365606,1,1,1
absolute,HH2603,UTORSO,NEUTRAL-SAD,13.4407218387694,11.4023041472499,14.91013404892,5.03083709154163,4.68619739697506,5.54856744706737,1,1,1
absolute,HH2603,UTORSO,DISGUST-JOY,-1.04392529840531,-2.13656918696915,-0.0987798724194882,-4.10964183342849,-4.4457755403329,-3.75422023244853,1,1,1
absolute,HH2603,UTORSO,DISGUST-SAD,14.029273126494,13.1875210158035,14.572564571826,-0.589522328725863,-0.977927460069949,-0.260305938413422,1,1,1
absolute,HH2603,UTORSO,JOY-SAD,15.0731984248993,13.9983014776966,16.5783558555205,3.52011950470263,3.11801237786774,4.10434041905395,1,1,1
absolute,HH2603,HEAD,NEUTRAL-DISGUST,8.45260963895824,5.86021558920833,10.3887609529421,2.41503446618631,1.25605427455298,3.61259726150183,1,1,1
absolute,HH2603,HEAD,NEUTRAL-JOY,-3.27653740388949,-5.94455999709669,-0.798917378674822,-1.32678065208309,-2.25200854343008,-0.71708259857667,1,1,1
absolute,HH2603,HEAD,NEUTRAL-SAD,5.99376123401295,3.927092062172,9.10269490978645,1.66966619238578,1.10322276045765,2.05095530379916,1,1,1
absolute,HH2603,HEAD,DISGUST-JOY,-11.7291470428477,-14.1328669105597,-8.70579182687357,-3.7418151182694,-4.05487686159776,-2.84096166257364,1,1,1
absolute,HH2603,HEAD,DISGUST-SAD,-2.45884840494529,-5.02202284706101,-0.596511393124171,-0.745368273800533,-1.4428823277098,0.504776535879829,1,1,1
absolute,HH2603,HEAD,JOY-SAD,9.27029863790244,5.99311532189424,13.2024251741476,2.99644684446887,2.03912833392666,3.97948930130806,1,1,1
absolute,HH2603,UPPER_LIMB_L,NEUTRAL-DISGUST,0.555771337668091,-0.684489182797694,2.31564999077726,5.22111271698649,4.12859998872099,5.89562359687768,1,1,1
absolute,HH2603,UPPER_LIMB_L,NEUTRAL-JOY,20.5688082423376,18.0010619858618,23.2699134823625,2.56099752620032,1.78419840624047,3.22470954366093,1,1,1
absolute,HH2603,UPPER_LIMB_L,NEUTRAL-SAD,34.9094760789999,32.0582154045846,36.0774702111748,3.78407574736398,2.73901169825554,4.61061763864478,1,1,1
absolute,HH2603,UPPER_LIMB_L,DISGUST-JOY,20.0130369046695,18.363406351099,21.9158661730923,-2.66011519078617,-3.20779533231511,-2.01758482781973,1,1,1
absolute,HH2603,UPPER_LIMB_L,DISGUST-SAD,34.3537047413318,32.0752434520734,35.2725262208055,-1.43703696962251,-1.92629460639186,-0.889661385165939,1,1,1
absolute,HH2603,UPPER_LIMB_L,JOY-SAD,14.3406678366623,11.6018595889794,18.179329706981,1.22307822116366,0.471911244326233,1.99197388220763,1,1,1
absolute,HH2603,UPPER_LIMB_R,NEUTRAL-DISGUST,-3.95335188295134,-6.33320760427389,-2.45682774123566,3.80334037537411,3.14727808369191,4.37474080337801,1,1,1
absolute,HH2603,UPPER_LIMB_R,NEUTRAL-JOY,0.977274710694957,-1.54455439643754,4.13699511309127,1.18619544681686,0.675629464267989,1.64177540625971,1,1,1
absolute,HH2603,UPPER_LIMB_R,NEUTRAL-SAD,32.3338686521271,29.2741054289083,35.8919900749896,3.20465433250473,2.35712101723625,3.64282641944614,1,1,1
absolute,HH2603,UPPER_LIMB_R,DISGUST-JOY,4.93062659364629,3.02743538181861,7.30323094098858,-2.61714492855725,-3.28143516569507,-1.63926138688347,1,1,1
absolute,HH2603,UPPER_LIMB_R,DISGUST-SAD,36.2872205350784,34.5736191117762,38.3729241242898,-0.598686042869375,-1.24420301216922,0.196107279787046,1,1,1
absolute,HH2603,UPPER_LIMB_R,JOY-SAD,31.3565939414321,29.0576286662456,33.9082627965982,2.01845888568788,1.53742983329757,2.52428064818422,1,1,1
absolute,HH2603,WRIST_L,NEUTRAL-DISGUST,-13.6950902996528,-17.3008309929753,-8.6055157135658,2.79453901744206,0.719821181261612,4.35461481094586,1,1,1
absolute,HH2603,WRIST_L,NEUTRAL-JOY,22.741020659176,16.4708684189869,29.5935511939868,2.58920439306468,0.0998964045375939,3.98049168791414,1,1,1
absolute,HH2603,WRIST_L,NEUTRAL-SAD,31.1824522142709,26.3466108601137,38.360527582519,1.52147655679286,-0.711943626545939,4.8407704572538,1,1,1
absolute,HH2603,WRIST_L,DISGUST-JOY,36.4361109588288,31.8080962818573,44.631810057166,-0.205334624377372,-1.38624349908292,0.940311744216749,1,1,1
absolute,HH2603,WRIST_L,DISGUST-SAD,44.8775425139237,40.8278465852313,50.8846161903815,-1.27306246064919,-3.81639024363021,3.45639963463808,1,1,1
absolute,HH2603,WRIST_L,JOY-SAD,8.44143155509484,1.15286479047073,14.0382206799384,-1.06772783627182,-3.82875515537761,2.18606660923053,1,1,1
absolute,HH2603,WRIST_R,NEUTRAL-DISGUST,-1.11106043909149,-6.0517177689723,6.15412572526468,6.58516124723951,4.32969057506416,9.01187399453082,1,1,1
absolute,HH2603,WRIST_R,NEUTRAL-JOY,13.3943178396581,6.86062948747919,20.9173156226064,3.29972373517935,2.39193651791193,4.5788616974832,1,1,1
absolute,HH2603,WRIST_R,NEUTRAL-SAD,51.3463531119206,45.9398447176687,60.4781958279006,8.08348592474226,6.83604081716949,8.77064144716084,1,1,1
absolute,HH2603,WRIST_R,DISGUST-JOY,14.5053782787496,9.04060029277302,19.8206358253059,-3.28543751206016,-5.02443562880294,-1.25850996390679,1,1,1
absolute,HH2603,WRIST_R,DISGUST-SAD,52.4574135510121,49.0124768756621,59.1683215540375,1.49832467750275,-0.825845664773743,3.3130609762681,1,1,1
absolute,HH2603,WRIST_R,JOY-SAD,37.9520352722625,32.052691735293,45.4614033387366,4.78376218956291,2.70605258922341,6.19694120301007,1,1,1
absolute,HH2603,LTORSO,NEUTRAL-DISGUST,2.17823469913132,0.517412476547445,3.31490412781719,8.82081889237004,8.09465813627858,9.32517436526994,1,1,1
absolute,HH2603,LTORSO,NEUTRAL-JOY,1.19480408148709,-0.287374473977426,3.04242274979174,4.81604345852084,4.37946807634123,5.31558110661351,1,1,1
absolute,HH2603,LTORSO,NEUTRAL-SAD,34.7207789701004,32.5532683382356,36.8625923132874,7.20127399511525,6.38938286864113,7.88425133782078,1,1,1
absolute,HH2603,LTORSO,DISGUST-JOY,-0.983430617644231,-2.72453444382069,1.38016103036666,-4.0047754338492,-4.54622634373353,-3.54683663200596,1,1,1
