normalization,markerGroup,pairLabel,method,nIncluded,nTotal,flipFraction
absolute,UTORSO,NEUTRAL-DISGUST,reference,27,27,0.296296296296296
absolute,UTORSO,NEUTRAL-DISGUST,deadzone,24,27,0.25
absolute,UTORSO,NEUTRAL-DISGUST,bootstrap_ci,27,27,0.296296296296296
absolute,UTORSO,NEUTRAL-JOY,reference,27,27,0.259259259259259
absolute,UTORSO,NEUTRAL-JOY,deadzone,26,27,0.269230769230769
absolute,UTORSO,NEUTRAL-JOY,bootstrap_ci,27,27,0.259259259259259
absolute,UTORSO,NEUTRAL-SAD,reference,27,27,0.296296296296296
absolute,UTORSO,NEUTRAL-SAD,deadzone,26,27,0.307692307692308
absolute,UTORSO,NEUTRAL-SAD,bootstrap_ci,27,27,0.296296296296296
absolute,UTORSO,DISGUST-JOY,reference,27,27,0.111111111111111
absolute,UTORSO,DISGUST-JOY,deadzone,25,27,0.12
absolute,UTORSO,DISGUST-JOY,bootstrap_ci,26,27,0.115384615384615
absolute,UTORSO,DISGUST-SAD,reference,27,27,0.333333333333333
absolute,UTORSO,DISGUST-SAD,deadzone,27,27,0.333333333333333
absolute,UTORSO,DISGUST-SAD,bootstrap_ci,27,27,0.333333333333333
absolute,UTORSO,JOY-SAD,reference,27,27,0.296296296296296
absolute,UTORSO,JOY-SAD,deadzone,23,27,0.217391304347826
absolute,UTORSO,JOY-SAD,bootstrap_ci,27,27,0.296296296296296
absolute,HEAD,NEUTRAL-DISGUST,reference,27,27,0.222222222222222
absolute,HEAD,NEUTRAL-DISGUST,deadzone,26,27,0.192307692307692
absolute,HEAD,NEUTRAL-DISGUST,bootstrap_ci,27,27,0.222222222222222
absolute,HEAD,NEUTRAL-JOY,reference,27,27,0.259259259259259
absolute,HEAD,NEUTRAL-JOY,deadzone,27,27,0.259259259259259
absolute,HEAD,NEUTRAL-JOY,bootstrap_ci,27,27,0.259259259259259
absolute,HEAD,NEUTRAL-SAD,reference,27,27,0.222222222222222
absolute,HEAD,NEUTRAL-SAD,deadzone,20,27,0.2
absolute,HEAD,NEUTRAL-SAD,bootstrap_ci,27,27,0.222222222222222
absolute,HEAD,DISGUST-JOY,reference,27,27,0.185185185185185
absolute,HEAD,DISGUST-JOY,deadzone,25,27,0.16
absolute,HEAD,DISGUST-JOY,bootstrap_ci,27,27,0.185185185185185
absolute,HEAD,DISGUST-SAD,reference,27,27,0.185185185185185
absolute,HEAD,DISGUST-SAD,deadzone,26,27,0.192307692307692
absolute,HEAD,DISGUST-SAD,bootstrap_ci,27,27,0.185185185185185
absolute,HEAD,JOY-SAD,reference,27,27,0.296296296296296
absolute,HEAD,JOY-SAD,deadzone,25,27,0.24
absolute,HEAD,JOY-SAD,bootstrap_ci,27,27,0.296296296296296
absolute,UPPER_LIMB_L,NEUTRAL-DISGUST,reference,27,27,0.296296296296296
absolute,UPPER_LIMB_L,NEUTRAL-DISGUST,deadzone,26,27,0.269230769230769
absolute,UPPER_LIMB_L,NEUTRAL-DISGUST,bootstrap_ci,27,27,0.296296296296296
absolute,UPPER_LIMB_L,NEUTRAL-JOY,reference,27,27,0.222222222222222
absolute,UPPER_LIMB_L,NEUTRAL-JOY,deadzone,26,27,0.230769230769231
absolute,UPPER_LIMB_L,NEUTRAL-JOY,bootstrap_ci,27,27,0.222222222222222
absolute,UPPER_LIMB_L,NEUTRAL-SAD,reference,27,27,0.259259259259259
absolute,UPPER_LIMB_L,NEUTRAL-SAD,deadzone,26,27,0.269230769230769
absolute,UPPER_LIMB_L,NEUTRAL-SAD,bootstrap_ci,26,27,0.269230769230769
absolute,UPPER_LIMB_L,DISGUST-JOY,reference,27,27,0.222222222222222
absolute,UPPER_LIMB_L,DISGUST-JOY,deadzone,26,27,0.192307692307692
absolute,UPPER_LIMB_L,DISGUST-JOY,bootstrap_ci,27,27,0.222222222222222
absolute,UPPER_LIMB_L,DISGUST-SAD,reference,27,27,0.333333333333333
absolute,UPPER_LIMB_L,DISGUST-SAD,deadzone,27,27,0.333333333333333
absolute,UPPER_LIMB_L,DISGUST-SAD,bootstrap_ci,27,27,0.333333333333333
absolute,UPPER_LIMB_L,JOY-SAD,reference,27,27,0.259259259259259
absolute,UPPER_LIMB_L,JOY-SAD,deadzone,24,27,0.291666666666667
absolute,UPPER_LIMB_L,JOY-SAD,bootstrap_ci,26,27,0.269230769230769
absolute,UPPER_LIMB_R,NEUTRAL-DISGUST,reference,27,27,0.222222222222222
