markerName,suggestedGroup,suggestedSide,groupName,include,notes
Skeleton 001,OTHER,C,OTHER,0,
Ab,OTHER,C,OTHER,0,
Chest,TORSO,C,UTORSO,1,
Neck,OTHER,C,OTHER,0,
Head,HEAD,C,HEAD,1,
LShoulder,UPPER_LIMB_L,L,UTORSO,1,
LUArm,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LFArm,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LHand,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LThumb1,UPPER_LIMB_L,L,UPPER_LIMB_L,0,
LThumb2,UPPER_LIMB_L,L,UPPER_LIMB_L,0,
LThumb3,UPPER_LIMB_L,L,UPPER_LIMB_L,0,
LIndex1,OTHER,L,OTHER,0,
LIndex2,OTHER,L,OTHER,0,
LIndex3,OTHER,L,OTHER,0,
LMiddle1,OTHER,L,OTHER,0,
LMiddle2,OTHER,L,OTHER,0,
LMiddle3,OTHER,L,OTHER,0,
LRing1,OTHER,L,OTHER,0,
LRing2,OTHER,L,OTHER,0,
LRing3,OTHER,L,OTHER,0,
LPinky1,OTHER,L,OTHER,0,
LPinky2,OTHER,L,OTHER,0,
LPinky3,OTHER,L,OTHER,0,
RShoulder,UPPER_LIMB_R,R,UPPER_LIMB_R,0,
RUArm,UPPER_LIMB_R,R,UPPER_LIMB_R,1,
RFArm,UPPER_LIMB_R,R,UPPER_LIMB_R,1,
RHand,UPPER_LIMB_R,R,UPPER_LIMB_R,1,
RThumb1,UPPER_LIMB_R,R,UPPER_LIMB_R,0,
RThumb2,UPPER_LIMB_R,R,UPPER_LIMB_R,0,
RThumb3,UPPER_LIMB_R,R,UPPER_LIMB_R,0,
RIndex1,OTHER,R,OTHER,0,
RIndex2,OTHER,R,OTHER,0,
RIndex3,OTHER,R,OTHER,0,
RMiddle1,OTHER,R,OTHER,0,
RMiddle2,OTHER,R,OTHER,0,
RMiddle3,OTHER,R,OTHER,0,
RRing1,OTHER,R,OTHER,0,
RRing2,OTHER,R,OTHER,0,
RRing3,OTHER,R,OTHER,0,
RPinky1,OTHER,R,OTHER,0,
RPinky2,OTHER,R,OTHER,0,
RPinky3,OTHER,R,OTHER,0,
LThigh,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
LShin,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
LFoot,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
LToe,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
RThigh,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
RShin,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
RFoot,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
RToe,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
HeadFront,HEAD,C,HEAD,1,
HeadLeft,HEAD,C,HEAD,1,
HeadTop,HEAD,C,HEAD,1,
HeadRight,HEAD,C,HEAD,1,
BackTop,OTHER,C,UTORSO,1,
BackLeft,OTHER,C,UTORSO,1,
BackRight,OTHER,C,UTORSO,1,
ChestTop,TORSO,C,UTORSO,1,
ChestLow,TORSO,C,UTORSO,1,
LShoulderBack,UPPER_LIMB_L,L,UTORSO,1,
LShoulderTop,UPPER_LIMB_L,L,UTORSO,1,
LUArmHigh,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LElbowOut,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LWristOut,UPPER_LIMB_L,L,WRIST_L,1,
LHandOut,UPPER_LIMB_L,L,HAND_L,0,
LPinky,OTHER,L,OTHER,0,
LHandIn,UPPER_LIMB_L,L,HAND_L,0,
LThumb,UPPER_LIMB_L,L,UPPER_LIMB_L,0,
LIndex,OTHER,L,OTHER,0,
RShoulderBack,UPPER_LIMB_R,R,UTORSO,1,
RShoulderTop,UPPER_LIMB_R,R,UTORSO,1,
RUArmHigh,UPPER_LIMB_R,R,UPPER_LIMB_R,1,
RElbowOut,UPPER_LIMB_R,R,UPPER_LIMB_R,1,
RWristOut,UPPER_LIMB_R,R,WRIST_R,1,
RHandOut,UPPER_LIMB_R,R,HAND_R,0,
RPinky,OTHER,R,OTHER,0,
RHandIn,UPPER_LIMB_R,R,UPPER_LIMB_R,0,
RThumb,UPPER_LIMB_R,R,UPPER_LIMB_R,0,
RIndex,OTHER,R,OTHER,0,
WaistLFront,OTHER,C,LTORSO,1,
WaistLBack,OTHER,C,LTORSO,1,
WaistCBack,OTHER,C,LTORSO,1,
WaistRBack,OTHER,C,LTORSO,1,
WaistRFront,OTHER,C,LTORSO,1,
LThighFront,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
LThighSide,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
LKneeOut,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
LAnkleOut,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
LHeel,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
LToeIn,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
LToeTip,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
LToeOut,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
RThighFront,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
RThighSide,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
RKneeOut,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
RAnkleOut,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
RHeel,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
RToeIn,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
RToeTip,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
RToeOut,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
