# created 2025-07-04T10:54:17.331321Z
# device Movesense
# serial 214130001414
# bandwidth 10 - 33 Hz
# gender Male
# age 41
#name elapsed_time ECG_mv
#datatype decimal decimal
#unit s mV
"Elapsed time","ECG"
0.000,-0.183
0.005,-0.168
0.010,-0.150
0.015,-0.129
0.020,-0.110
0.025,-0.095
0.030,-0.083
0.035,-0.074
0.040,-0.065
0.045,-0.053
0.050,-0.039
0.055,-0.026
0.060,-0.023
0.065,-0.026
0.070,-0.027
0.075,-0.023
0.080,-0.019
0.085,-0.022
0.090,-0.030
0.095,-0.037
0.100,-0.038
0.105,-0.034
0.110,-0.029
0.115,-0.029
0.120,-0.036
0.125,-0.044
0.130,-0.048
0.135,-0.048
0.140,-0.047
0.145,-0.049
0.150,-0.051
0.155,-0.052
0.160,-0.048
0.165,-0.043
0.170,-0.045
0.175,-0.053
0.180,-0.068
0.185,-0.074
0.190,-0.063
0.195,-0.045
0.200,-0.033
0.205,-0.030
0.210,-0.029
0.215,-0.026
0.220,-0.022
0.225,-0.022
0.230,-0.026
0.235,-0.027
0.240,-0.024
0.245,-0.021
0.250,-0.020
0.255,-0.026
0.260,-0.024
0.265,-0.010
0.270,-0.013
0.275,-0.092
0.280,-0.229
0.285,-0.265
0.290,-0.049
0.295,0.385
0.300,0.937
0.305,1.492
0.310,1.703
0.315,1.134
0.320,-0.163
0.325,-1.430
0.330,-1.863
0.335,-1.408
0.340,-0.693
0.345,-0.252
0.350,-0.090
0.355,-0.021
0.360,0.011
0.365,0.016
0.370,0.016
0.375,0.017
0.380,0.014
0.385,0.011
0.390,0.009
0.395,0.008
0.400,0.007
0.405,0.011
0.410,0.016
0.415,0.019
0.420,0.018
0.425,0.019
0.430,0.025
0.435,0.031
0.440,0.039
0.445,0.046
