Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;SystemTime
1115894;1000005633315215722;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.040, -0.007, 0.999);(0.000, 0.000, 0.000);70,725;VALID;(-0.040, -0.007, 0.999);(-0.035, 0.000, 0.000);0,365;4,756;13,044;VALID;(-0.040, -0.007, 0.999);(0.035, 0.000, 0.000);0,365;4,877;13,364;2;1;14.8.2025 11.48.56
1115895;1000005633320216195;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.040, -0.007, 0.999);(0.000, 0.000, 0.000);70,725;VALID;(-0.040, -0.007, 0.999);(-0.035, 0.000, 0.000);0,364;4,754;13,044;VALID;(-0.040, -0.007, 0.999);(0.035, 0.000, 0.000);0,365;4,876;13,364;2;1;14.8.2025 11.48.56
1115896;1000005633325216802;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.041, -0.007, 0.999);(0.000, 0.000, 0.000);70,725;VALID;(-0.041, -0.007, 0.999);(-0.035, 0.000, 0.000);0,364;4,752;13,044;VALID;(-0.041, -0.007, 0.999);(0.035, 0.000, 0.000);0,365;4,873;13,364;2;1;14.8.2025 11.48.56
1115897;1000005633330217542;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.040, -0.007, 0.999);(0.000, 0.000, 0.000);70,725;VALID;(-0.040, -0.007, 0.999);(-0.035, 0.000, 0.000);0,364;4,753;13,044;VALID;(-0.040, -0.007, 0.999);(0.035, 0.000, 0.000);0,364;4,862;13,364;2;1;14.8.2025 11.48.56
1115898;1000005633335218332;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.040, -0.008, 0.999);(0.000, 0.000, 0.000);70,725;VALID;(-0.040, -0.008, 0.999);(-0.035, 0.000, 0.000);0,365;4,767;13,044;VALID;(-0.040, -0.008, 0.999);(0.035, 0.000, 0.000);0,364;4,859;13,364;2;0,9172891;14.8.2025 11.48.56
1115899;1000005633340219120;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.039, -0.008, 0.999);(0.000, 0.000, 0.000);70,725;VALID;(-0.039, -0.008, 0.999);(-0.035, 0.000, 0.000);0,366;4,779;13,044;VALID;(-0.039, -0.008, 0.999);(0.035, 0.000, 0.000);0,364;4,859;13,364;2;0,8103736;14.8.2025 11.48.56
1115900;1000005633345219904;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.038, -0.009, 0.999);(0.000, 0.000, 0.000);70,725;VALID;(-0.038, -0.009, 0.999);(-0.035, 0.000, 0.000);0,367;4,786;13,044;VALID;(-0.038, -0.009, 0.999);(0.035, 0.000, 0.000);0,364;4,859;13,364;2;0,8016583;14.8.2025 11.48.56
1115901;1000005633350220689;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.037, -0.010, 0.999);(0.000, 0.000, 0.000);70,725;VALID;(-0.037, -0.010, 0.999);(-0.035, 0.000, 0.000);0,367;4,788;13,044;VALID;(-0.037, -0.010, 0.999);(0.035, 0.000, 0.000);0,364;4,859;13,364;2;0,7777954;14.8.2025 11.48.56
1115902;1000005633355221471;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.035, -0.011, 0.999);(0.000, 0.000, 0.000);70,725;VALID;(-0.035, -0.011, 0.999);(-0.035, 0.000, 0.000);0,367;4,787;13,044;VALID;(-0.035, -0.011, 0.999);(0.035, 0.000, 0.000);0,364;4,860;13,364;2;0,7702811;14.8.2025 11.48.56
1115903;1000005633360222251;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.034, -0.012, 0.999);(0.000, 0.000, 0.000);70,725;VALID;(-0.034, -0.012, 0.999);(-0.035, 0.000, 0.000);0,367;4,782;13,044;VALID;(-0.034, -0.012, 0.999);(0.035, 0.000, 0.000);0,364;4,861;13,364;2;0,753932;14.8.2025 11.48.56
1115904;1000005633365223028;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.032, -0.013, 0.999);(0.000, 0.000, 0.000);70,725;VALID;(-0.032, -0.013, 0.999);(-0.035, 0.000, 0.000);0,366;4,775;13,044;VALID;(-0.032, -0.013, 0.999);(0.035, 0.000, 0.000);0,364;4,861;13,364;2;0,7404839;14.8.2025 11.48.56
1115905;1000005633370223803;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.030, -0.014, 0.999);(0.000, 0.000, 0.000);70,725;VALID;(-0.030, -0.014, 0.999);(-0.035, 0.000, 0.000);0,365;4,767;13,044;VALID;(-0.030, -0.014, 0.999);(0.035, 0.000, 0.000);0,364;4,862;13,364;2;0,7297511;14.8.2025 11.48.56
1115906;1000005633375227930;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.028, -0.015, 1.000);(0.000, 0.000, 0.000);70,725;VALID;(-0.028, -0.015, 1.000);(-0.035, 0.000, 0.000);0,365;4,761;13,044;VALID;(-0.028, -0.015, 1.000);(0.035, 0.000, 0.000);0,364;4,862;13,364;2;0,707529;14.8.2025 11.48.56
1115907;1000005633380231907;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.026, -0.016, 1.000);(0.000, 0.000, 0.000);70,725;VALID;(-0.026, -0.016, 1.000);(-0.035, 0.000, 0.000);0,365;4,756;13,044;VALID;(-0.026, -0.016, 1.000);(0.035, 0.000, 0.000);0,364;4,862;13,364;2;0,6965991;14.8.2025 11.48.56
1115908;1000005633385235845;63890768936309;(0.051, 1.094, 0.079);(-0.024, -0.005, -0.023, 0.999);VALID;(-0.025, -0.017, 1.000);(0.000, 0.000, 0.000);70,725;VALID;(-0.025, -0.017, 1.000);(-0.035, 0.000, 0.000);0,364;4,752;13,044;VALID;(-0.025, -0.017, 1.000);(0.035, 0.000, 0.000);0,364;4,862;13,364;2;0,6914491;14.8.2025 11.48.56
