markerName,suggestedGroup,suggestedSide,groupName,include,notes
Skeleton 001,OTHER,C,OTHER,1,
Ab,OTHER,C,OTHER,1,
Chest,TORSO,C,TORSO,1,
Neck,OTHER,C,OTHER,1,
Head,HEAD,C,HEAD,1,
LShoulder,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LUArm,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LFArm,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LHand,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LThumb1,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LThumb2,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LThumb3,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LIndex1,OTHER,L,OTHER,1,
LIndex2,OTHER,L,OTHER,1,
LIndex3,OTHER,L,OTHER,1,
LMiddle1,OTHER,L,OTHER,1,
LMiddle2,OTHER,L,OTHER,1,
LMiddle3,OTHER,L,OTHER,1,
LRing1,OTHER,L,OTHER,1,
LRing2,OTHER,L,OTHER,1,
LRing3,OTHER,L,OTHER,1,
LPinky1,OTHER,L,OTHER,1,
LPinky2,OTHER,L,OTHER,1,
LPinky3,OTHER,L,OTHER,1,
RShoulder,UPPER_LIMB_R,R,UPPER_LIMB_R,1,
RUArm,UPPER_LIMB_R,R,UPPER_LIMB_R,1,
RFArm,UPPER_LIMB_R,R,UPPER_LIMB_R,1,
RHand,UPPER_LIMB_R,R,UPPER_LIMB_R,1,
RThumb1,UPPER_LIMB_R,R,UPPER_LIMB_R,1,
RThumb2,UPPER_LIMB_R,R,UPPER_LIMB_R,1,
RThumb3,UPPER_LIMB_R,R,UPPER_LIMB_R,1,
RIndex1,OTHER,R,OTHER,1,
RIndex2,OTHER,R,OTHER,1,
RIndex3,OTHER,R,OTHER,1,
RMiddle1,OTHER,R,OTHER,1,
RMiddle2,OTHER,R,OTHER,1,
RMiddle3,OTHER,R,OTHER,1,
RRing1,OTHER,R,OTHER,1,
RRing2,OTHER,R,OTHER,1,
RRing3,OTHER,R,OTHER,1,
RPinky1,OTHER,R,OTHER,1,
RPinky2,OTHER,R,OTHER,1,
RPinky3,OTHER,R,OTHER,1,
LThigh,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
LShin,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
LFoot,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
LToe,LOWER_LIMB_L,L,LOWER_LIMB_L,1,
RThigh,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
RShin,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
RFoot,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
RToe,LOWER_LIMB_R,R,LOWER_LIMB_R,1,
HeadFront,HEAD,C,HEAD,1,
HeadLeft,HEAD,C,HEAD,1,
HeadTop,HEAD,C,HEAD,1,
HeadRight,HEAD,C,HEAD,1,
BackTop,OTHER,C,OTHER,1,
BackLeft,OTHER,C,OTHER,1,
BackRight,OTHER,C,OTHER,1,
ChestTop,TORSO,C,TORSO,1,
ChestLow,TORSO,C,TORSO,1,
LShoulderBack,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LShoulderTop,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LUArmHigh,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LElbowOut,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
LWristOut,UPPER_LIMB_L,L,UPPER_LIMB_L,1,
